word,presidente,year
it,bartolome_mitre,1864
terminado,bartolome_mitre,1864
discurso,bartolome_mitre,1864
dz,bartolome_mitre,1864
secretarios,bartolome_mitre,1864
leyó,bartolome_mitre,1864
mensaje,bartolome_mitre,1864
presidente,bartolome_mitre,1864
república,bartolome_mitre,1864
habia,bartolome_mitre,1864
puesto,bartolome_mitre,1864
manos,bartolome_mitre,1864
congreso,bartolome_mitre,1864
tér,bartolome_mitre,1864
minos,bartolome_mitre,1864
siguientes,bartolome_mitre,1864
men,bartolome_mitre,1864
sa,bartolome_mitre,1864
jl,bartolome_mitre,1864
presidente,bartolome_mitre,1864
doe,bartolome_mitre,1864
republica,bartolome_mitre,1864
congreso,bartolome_mitre,1864
leyislativo,bartolome_mitre,1864
do,bartolome_mitre,1864
nacion,bartolome_mitre,1864
conciudadanos,bartolome_mitre,1864
senado,bartolome_mitre,1864
dela,bartolome_mitre,1864
cámara,bartolome_mitre,1864
daros,bartolome_mitre,1864
cuenta,bartolome_mitre,1864
iniciarse,bartolome_mitre,1864
actual,bartolome_mitre,1864
periodo,bartolome_mitre,1864
legislativo,bartolome_mitre,1864
segun,bartolome_mitre,1864
prescribe,bartolome_mitre,1864
constitucion,bartolome_mitre,1864
cdbeme,bartolome_mitre,1864
satisfaccion,bartolome_mitre,1864
anunciaros,bartolome_mitre,1864
gue,bartolome_mitre,1864
ta,bartolome_mitre,1864
tranquilidad,bartolome_mitre,1864
ley,bartolome_mitre,1864
impezan,bartolome_mitre,1864
pueblos,bartolome_mitre,1864
república,bartolome_mitre,1864
montoneras,bartolome_mitre,1864
surgieron,bartolome_mitre,1864
rioja,bartolome_mitre,1864
cuya,bartolome_mitre,1864
accion,bartolome_mitre,1864
circunscribió,bartolome_mitre,1864
loca,bartolome_mitre,1864
lidad,bartolome_mitre,1864
puntos,bartolome_mitre,1864
lejanos,bartolome_mitre,1864
centros,bartolome_mitre,1864
poblacion,bartolome_mitre,1864
provincias,bartolome_mitre,1864
circunvecinas,bartolome_mitre,1864
dominadas,bartolome_mitre,1864
vencidas,bartolome_mitre,1864
completamente,bartolome_mitre,1864
dá,bartolome_mitre,1864
costa,bartolome_mitre,1864
ensibles,bartolome_mitre,1864
sacrificios,bartolome_mitre,1864
perturbacion,bartolome_mitre,1864
órden,bartolome_mitre,1864
paz,bartolome_mitre,1864
ocurrida,bartolome_mitre,1864
nlguncs,bartolome_mitre,1864
pueblos,bartolome_mitre,1864
república,bartolome_mitre,1864
fué,bartolome_mitre,1864
momentánea,bartolome_mitre,1864
obteniendo,bartolome_mitre,1864
pronto,bartolome_mitre,1864
restablecimiento,bartolome_mitre,1864
autoridades,bartolome_mitre,1864
legales,bartolome_mitre,1864
pucblos,bartolome_mitre,1864
trabajados,bartolome_mitre,1864
log,bartolome_mitre,1864
luchas,bartolome_mitre,1864
intestinas,bartolome_mitre,1864
dejan,bartolome_mitre,1864
elementos,bartolome_mitre,1864
desquicio,bartolome_mitre,1864
entrar,bartolome_mitre,1864
órden,bartolome_mitre,1864
normal,bartolome_mitre,1864
extradarse,bartolome_mitre,1864
estosdesórdenes,bartolome_mitre,1864
parciales,bartolome_mitre,1864
frutos,bartolome_mitre,1864
propios,bartolome_mitre,1864
errores,bartolome_mitre,1864
ellostendránirremedinblemente,bartolome_mitre,1864
término,bartolome_mitre,1864
final,bartolome_mitre,1864
comprenda,bartolome_mitre,1864
lu,bartolome_mitre,1864
anarquia,bartolome_mitre,1864
desórden,bartolome_mitre,1864
hicieron,bartolome_mitre,1864
época,bartolome_mitre,1864
malas,bartolome_mitre,1864
pasiones,bartolome_mitre,1864
quieren,bartolome_mitre,1864
arrastrarnos,bartolome_mitre,1864
nuevo,bartolome_mitre,1864
pasadas,bartolome_mitre,1864
desgracias,bartolome_mitre,1864
encuentran,bartolome_mitre,1864
intereses,bartolome_mitre,1864
je,bartolome_mitre,1864
pueblos,bartolome_mitre,1864
pueblos,bartolome_mitre,1864
re,bartolome_mitre,1864
sueltos,bartolome_mitre,1864
sostener,bartolome_mitre,1864
paz,bartolome_mitre,1864
ley,bartolome_mitre,1864
unica,bartolome_mitre,1864
sal,bartolome_mitre,1864
vaguardia,bartolome_mitre,1864
consagrado,bartolome_mitre,1864
gobierno,bartolome_mitre,1864
deber,bartolome_mitre,1864
primordial,bartolome_mitre,1864
propaganda,bartolome_mitre,1864
anárquica,bartolome_mitre,1864
esparcia,bartolome_mitre,1864
des,bartolome_mitre,1864
rioja,bartolome_mitre,1864
sometimiento,bartolome_mitre,1864
rebeldes,bartolome_mitre,1864
habian,bartolome_mitre,1864
establecido,bartolome_mitre,1864
centro,bartolome_mitre,1864
operaciones,bartolome_mitre,1864
dejado,bartolome_mitre,1864
atender,bartolome_mitre,1864
exigencias,bartolome_mitre,1864
reclumaba,bartolome_mitre,1864
adelanto,bartolome_mitre,1864
intereses,bartolome_mitre,1864
interiores,bartolome_mitre,1864
exteriores,bartolome_mitre,1864
aus,bartolome_mitre,1864
accion,bartolome_mitre,1864
respecta,bartolome_mitre,1864
qu,bartolome_mitre,1864
limitada,bartolome_mitre,1864
causas,bartolome_mitre,1864
pueblos,bartolome_mitre,1864
argen,bartolome_mitre,1864
tinos,bartolome_mitre,1864
avanzan,bartolome_mitre,1864
senda,bartolome_mitre,1864
progreso,bartolome_mitre,1864
sc,bartolome_mitre,1864
encuentran,bartolome_mitre,1864
fortaleciéndose,bartolome_mitre,1864
sombra,bartolome_mitre,1864
ins,bartolome_mitre,1864
tituciones,bartolome_mitre,1864
liberales,bartolome_mitre,1864
rigen,bartolome_mitre,1864
cordiatidad,bartolome_mitre,1864
relaciones,bartolome_mitre,1864
naciones,bartolome_mitre,1864
miyas,bartolome_mitre,1864
testimonio,bartolome_mitre,1864
mas,bartolome_mitre,1864
concluyente,bartolome_mitre,1864
recta,bartolome_mitre,1864
política,bartolome_mitre,1864
exterior,bartolome_mitre,1864
delos,bartolome_mitre,1864
gobiernos,bartolome_mitre,1864
argentino,bartolome_mitre,1864
prestundo,bartolome_mitre,1864
mas,bartolome_mitre,1864
eficaz,bartolome_mitre,1864
