word,presidente,year
mensaje,domingo_f_sarmiento,1870
presidente,domingo_f_sarmiento,1870
republica,domingo_f_sarmiento,1870
congreso,domingo_f_sarmiento,1870
nacion,domingo_f_sarmiento,1870
conciudadanos,domingo_f_sarmiento,1870
senado,domingo_f_sarmiento,1870
cámara,domingo_f_sarmiento,1870
terminación,domingo_f_sarmiento,1870
guerra,domingo_f_sarmiento,1870
impuso,domingo_f_sarmiento,1870
tirano,domingo_f_sarmiento,1870
paraguay,domingo_f_sarmiento,1870
grande,domingo_f_sarmiento,1870
acontecimiento,domingo_f_sarmiento,1870
histórico,domingo_f_sarmiento,1870
américa,domingo_f_sarmiento,1870
presentado,domingo_f_sarmiento,1870
espectación,domingo_f_sarmiento,1870
universal,domingo_f_sarmiento,1870
cl,domingo_f_sarmiento,1870
transeurrido,domingo_f_sarmiento,1870
mundo,domingo_f_sarmiento,1870
asombrado,domingo_f_sarmiento,1870
duración,domingo_f_sarmiento,1870
lucha,domingo_f_sarmiento,1870
ignoran,domingo_f_sarmiento,1870
todavía,domingo_f_sarmiento,1870
buen,domingo_f_sarmiento,1870
sentido,domingo_f_sarmiento,1870
resiste,domingo_f_sarmiento,1870
ercerlo,domingo_f_sarmiento,1870
barbarie,domingo_f_sarmiento,1870
obstinación,domingo_f_sarmiento,1870
parte,domingo_f_sarmiento,1870
in,domingo_f_sarmiento,1870
enemigo,domingo_f_sarmiento,1870
vencido,domingo_f_sarmiento,1870
contribuído,domingo_f_sarmiento,1870
prolanearla,domingo_f_sarmiento,1870
paragnay,domingo_f_sarmiento,1870
abierto,domingo_f_sarmiento,1870
influencias,domingo_f_sarmiento,1870
eivilización,domingo_f_sarmiento,1870
contacto,domingo_f_sarmiento,1870
naciones,domingo_f_sarmiento,1870
empieza,domingo_f_sarmiento,1870
darse,domingo_f_sarmiento,1870
instituciones,domingo_f_sarmiento,1870
republicanas,domingo_f_sarmiento,1870
reparará,domingo_f_sarmiento,1870
pronto,domingo_f_sarmiento,1870
estragos,domingo_f_sarmiento,1870
guerra,domingo_f_sarmiento,1870
tiraría,domingo_f_sarmiento,1870
hereditarías,domingo_f_sarmiento,1870
pesado,domingo_f_sarmiento,1870
paz,domingo_f_sarmiento,1870
restablecida,domingo_f_sarmiento,1870
triinto,domingo_f_sarmiento,1870
armas,domingo_f_sarmiento,1870
aliadas,domingo_f_sarmiento,1870
