word,presidente,year
república,nicolas_avellaneda,1875
encuentra,nicolas_avellaneda,1875
tranquila,nicolas_avellaneda,1875
aguarda,nicolas_avellaneda,1875
leyes,nicolas_avellaneda,1875
vbedecerlas,nicolas_avellaneda,1875
confiando,nicolas_avellaneda,1875
tiempo,nicolas_avellaneda,1875
darán,nicolas_avellaneda,1875
mayor,nicolas_avellaneda,1875
eficacia,nicolas_avellaneda,1875
instituciones,nicolas_avellaneda,1875
nuevo,nicolas_avellaneda,1875
impulso,nicolas_avellaneda,1875
su3,nicolas_avellaneda,1875
nacientes,nicolas_avellaneda,1875
progresos,nicolas_avellaneda,1875
rebelión,nicolas_avellaneda,1875
fué,nicolas_avellaneda,1875
enfermedad,nicolas_avellaneda,1875
espíritus,nicolas_avellaneda,1875
agitaciones,nicolas_avellaneda,1875
movíimiento,nicolas_avellaneda,1875
electoral,nicolas_avellaneda,1875
convulsivo,nicolas_avellaneda,1875
prolongado,nicolas_avellaneda,1875
pueblo,nicolas_avellaneda,1875
nación,nicolas_avellaneda,1875
soldados,nicolas_avellaneda,1875
ficles,nicolas_avellaneda,1875
pusieron,nicolas_avellaneda,1875
pie,nicolas_avellaneda,1875
sofocaron,nicolas_avellaneda,1875
quedó,nicolas_avellaneda,1875
demostrado,nicolas_avellaneda,1875
nación,nicolas_avellaneda,1875
superior,nicolas_avellaneda,1875
nación,nicolas_avellaneda,1875
minorias,nicolas_avellaneda,1875
oligárquicas,nicolas_avellaneda,1875
amolinen,nicolas_avellaneda,1875
ejércitos,nicolas_avellaneda,1875
vencidas,nicolas_avellaneda,1875
razón,nicolas_avellaneda,1875
madura,nicolas_avellaneda,1875
brazo,nicolas_avellaneda,1875
fuerte,nicolas_avellaneda,1875
pueblos,nicolas_avellaneda,1875
cerrasteis,nicolas_avellaneda,1875
ahora,nicolas_avellaneda,1875
meses,nicolas_avellaneda,1875
sesiones,nicolas_avellaneda,1875
nación,nicolas_avellaneda,1875
conmovida,nicolas_avellaneda,1875
insurrección,nicolas_avellaneda,1875
altos,nicolas_avellaneda,1875
intereses,nicolas_avellaneda,1875
patria,nicolas_avellaneda,1875
adelantos,nicolas_avellaneda,1875
instituciones,nicolas_avellaneda,1875
volvían,nicolas_avellaneda,1875
envolverse,nicolas_avellaneda,1875
aparentemente,nicolas_avellaneda,1875
vscuro,nicolas_avellaneda,1875
problema,nicolas_avellaneda,1875
venís,nicolas_avellaneda,1875
ocupar,nicolas_avellaneda,1875
astentos,nicolas_avellaneda,1875
zozobras,nicolas_avellaneda,1875
huscando,nicolas_avellaneda,1875
mejores,nicolas_avellaneda,1875
asuntos,nicolas_avellaneda,1875
deliberaciones,nicolas_avellaneda,1875
desarrollo,nicolas_avellaneda,1875
progresivo,nicolas_avellaneda,1875
ésta,nicolas_avellaneda,1875
última,nicolas_avellaneda,1875
sintesis,nicolas_avellaneda,1875
obra,nicolas_avellaneda,1875
presenta,nicolas_avellaneda,1875
administración,nicolas_avellaneda,1875
dejasteis,nicolas_avellaneda,1875
constituida,nicolas_avellaneda,1875
pasado,nicolas_avellaneda,1875
medio,nicolas_avellaneda,1875
situación,nicolas_avellaneda,1875
cercada,nicolas_avellaneda,1875
peligros,nicolas_avellaneda,1875
vencido,nicolas_avellaneda,1875
pacificado,nicolas_avellaneda,1875
rebelión,nicolas_avellaneda,1875
hechos,nicolas_avellaneda,1875
conocidos,nicolas_avellaneda,1875
deber,nicolas_avellaneda,1875
recordarlos,nicolas_avellaneda,1875
acto,nicolas_avellaneda,1875
consignando,nicolas_avellaneda,1875
rasgos,nicolas_avellaneda,1875
dominantes,nicolas_avellaneda,1875
provincia,nicolas_avellaneda,1875
buenos,nicolas_avellaneda,1875
aires,nicolas_avellaneda,1875
teatro,nicolas_avellaneda,1875
princi,nicolas_avellaneda,1875
pal,nicolas_avellaneda,1875
foco,nicolas_avellaneda,1875
subversión,nicolas_avellaneda,1875
fué,nicolas_avellaneda,1875
necesario,nicolas_avellaneda,1875
organi,nicolas_avellaneda,1875
zar,nicolas_avellaneda,1875
grandes,nicolas_avellaneda,1875
cuerpos,nicolas_avellaneda,1875
ejército,nicolas_avellaneda,1875
rebelión,nicolas_avellaneda,1875
herida,nicolas_avellaneda,1875
muerte,nicolas_avellaneda,1875
verde,nicolas_avellaneda,1875
cayó,nicolas_avellaneda,1875
después,nicolas_avellaneda,1875
rendida,nicolas_avellaneda,1875
junin,nicolas_avellaneda,1875
recibido,nicolas_avellaneda,1875
sometimiento,nicolas_avellaneda,1875
división,nicolas_avellaneda,1875
heroica,nicolas_avellaneda,1875
coronel,nicolas_avellaneda,1875
arias,nicolas_avellaneda,1875
aumentada,nicolas_avellaneda,1875
fuerzas,nicolas_avellaneda,1875
ejércitos,nicolas_avellaneda,1875
sud,nicolas_avellaneda,1875
oeste,nicolas_avellaneda,1875
avanzaban,nicolas_avellaneda,1875
dirección,nicolas_avellaneda,1875
insurrectos,nicolas_avellaneda,1875
irrevocablemente,nicolas_avellaneda,1875
vencidos,nicolas_avellaneda,1875
siéndoles,nicolas_avellaneda,1875
imposible,nicolas_avellaneda,1875
retroceder,nicolas_avellaneda,1875
apenas,nicolas_avellaneda,1875
avanzado,nicolas_avellaneda,1875
leguas,nicolas_avellaneda,1875
encontrado,nicolas_avellaneda,1875
hombres,nicolas_avellaneda,1875
ejército,nicolas_avellaneda,1875
reserva,nicolas_avellaneda,1875
desplegados,nicolas_avellaneda,1875
largo,nicolas_avellaneda,1875
arroyo,nicolas_avellaneda,1875
medio,nicolas_avellaneda,1875
quedaba,nicolas_avellaneda,1875
todavía,nicolas_avellaneda,1875
subsistente,nicolas_avellaneda,1875
ln,nicolas_avellaneda,1875
rebelión,nicolas_avellaneda,1875
cuyo,nicolas_avellaneda,1875
representada,nicolas_avellaneda,1875
ejército,nicolas_avellaneda,1875
arredondo,nicolas_avellaneda,1875
sublevó,nicolas_avellaneda,1875
fortines,nicolas_avellaneda,1875
mercedes,nicolas_avellaneda,1875
aumentado,nicolas_avellaneda,1875
elementos,nicolas_avellaneda,1875
arrancados,nicolas_avellaneda,1875
provincias,nicolas_avellaneda,1875
cuyo,nicolas_avellaneda,1875
bajo,nicolas_avellaneda,1875
sistema,nicolas_avellaneda,1875
extorsión,nicolas_avellaneda,1875
violencias,nicolas_avellaneda,1875
después,nicolas_avellaneda,1875
trágica,nicolas_avellaneda,1875
batalla,nicolas_avellaneda,1875
perdida,nicolas_avellaneda,1875
intrépido,nicolas_avellaneda,1875
comandante,nicolas_avellaneda,1875
catalán,nicolas_avellaneda,1875
abierto,nicolas_avellaneda,1875
mendoza,nicolas_avellaneda,1875
camino,nicolas_avellaneda,1875
enlutado,nicolas_avellaneda,1875
cuatrocientos,nicolas_avellaneda,1875
cadáveres,nicolas_avellaneda,1875
fué,nicolas_avellaneda,1875
necesario,nicolas_avellaneda,1875
general,nicolas_avellaneda,1875
roca,nicolas_avellaneda,1875
reorganizara,nicolas_avellaneda,1875
ejército,nicolas_avellaneda,1875
norte,nicolas_avellaneda,1875
adoptarlo,nicolas_avellaneda,1875
composición,nicolas_avellaneda,1875
nuevo,nicolas_avellaneda,1875
teatro,nicolas_avellaneda,1875
debia,nicolas_avellaneda,1875
obrar,nicolas_avellaneda,1875
completado,nicolas_avellaneda,1875
operación,nicolas_avellaneda,1875
dias,nicolas_avellaneda,1875
salió,nicolas_avellaneda,1875
san,nicolas_avellaneda,1875
luis,nicolas_avellaneda,1875
alcanzar,nicolas_avellaneda,1875
después,nicolas_avellaneda,1875
rápidas,nicolas_avellaneda,1875
marchas,nicolas_avellaneda,1875
victoria,nicolas_avellaneda,1875
decisiva,nicolas_avellaneda,1875
santa,nicolas_avellaneda,1875
rosa,nicolas_avellaneda,1875
rebelión,nicolas_avellaneda,1875
habia,nicolas_avellaneda,1875
extendido,nicolas_avellaneda,1875
ríos,nicolas_avellaneda,1875
erasmo,nicolas_avellaneda,1875
obligado,nicolas_avellaneda,1875
sustraído,nicolas_avellaneda,1875
cañonera,nicolas_avellaneda,1875
agregaba,nicolas_avellaneda,1875
buque,nicolas_avellaneda,1875
armado,nicolas_avellaneda,1875
comité,nicolas_avellaneda,1875
revolucionario,nicolas_avellaneda,1875
establecido,nicolas_avellaneda,1875
montevideo,nicolas_avellaneda,1875
expectación,nicolas_avellaneda,1875
grandes,nicolas_avellaneda,1875
buques,nicolas_avellaneda,1875
debian,nicolas_avellaneda,1875
jlegar,nicolas_avellaneda,1875
extranjero,nicolas_avellaneda,1875
descuidado,nicolas_avellaneda,1875
punto,nicolas_avellaneda,1875
existentes,nicolas_avellaneda,1875
quedaban,nicolas_avellaneda,1875
húbiles,nicolas_avellaneda,1875
cañonera,nicolas_avellaneda,1875
uruguay,nicolas_avellaneda,1875
payón,nicolas_avellaneda,1875
inutilizaron,nicolas_avellaneda,1875
causándose,nicolas_avellaneda,1875
reciprocamente,nicolas_avellaneda,1875
grandes,nicolas_avellaneda,1875
averías,nicolas_avellaneda,1875
primera,nicolas_avellaneda,1875
salida,nicolas_avellaneda,1875
fué,nicolas_avellaneda,1875
necesario,nicolas_avellaneda,1875
desplegar,nicolas_avellaneda,1875
nctividad,nicolas_avellaneda,1875
incesante,nicolas_avellaneda,1875
poner,nicolas_avellaneda,1875
actitud,nicolas_avellaneda,1875
buen,nicolas_avellaneda,1875
servicio,nicolas_avellaneda,1875
10dos,nicolas_avellaneda,1875
buques,nicolas_avellaneda,1875
posela,nicolas_avellaneda,1875
manera,nicolas_avellaneda,1875
continúan,nicolas_avellaneda,1875
todavia,nicolas_avellaneda,1875
utilizados,nicolas_avellaneda,1875
objetos,nicolas_avellaneda,1875
administrativos,nicolas_avellaneda,1875
custodia,nicolas_avellaneda,1875
costas,nicolas_avellaneda,1875
apenas,nicolas_avellaneda,1875
buques,nicolas_avellaneda,1875
escuadra,nicolas_avellaneda,1875
pudieron,nicolas_avellaneda,1875
zarpar,nicolas_avellaneda,1875
rebeldes,nicolas_avellaneda,1875
lugar,nicolas_avellaneda,1875
seguro,nicolas_avellaneda,1875
hora,nicolas_avellaneda,1875
reposo,nicolas_avellaneda,1875
obligado,nicolas_avellaneda,1875
abandonó,nicolas_avellaneda,1875
cañonera,nicolas_avellaneda,1875
enviándola,nicolas_avellaneda,1875
nota,nicolas_avellaneda,1875
gobierno,nicolas_avellaneda,1875
poder,nicolas_avellaneda,1875
ejecutivo,nicolas_avellaneda,1875
fué,nicolas_avellaneda,1875
oportunamente,nicolas_avellaneda,1875
advertido,nicolas_avellaneda,1875
jos,nicolas_avellaneda,1875
planes,nicolas_avellaneda,1875
subversivos,nicolas_avellaneda,1875
tramaban,nicolas_avellaneda,1875
corrientes,nicolas_avellaneda,1875
sobreviniendo,nicolas_avellaneda,1875
improviso,nicolas_avellaneda,1875
coronel,nicolas_avellaneda,1875
obligado,nicolas_avellaneda,1875
ochocientos,nicolas_avellaneda,1875
hombres,nicolas_avellaneda,1875
embarcados,nicolas_avellaneda,1875
rosario,nicolas_avellaneda,1875
pudo,nicolas_avellaneda,1875
sofocar,nicolas_avellaneda,1875
movimiento,nicolas_avellaneda,1875
insurreccional,nicolas_avellaneda,1875
primeras,nicolas_avellaneda,1875
manifestaciones,nicolas_avellaneda,1875
desenlaces,nicolas_avellaneda,1875
acumulaban,nicolas_avellaneda,1875
rápidamente,nicolas_avellaneda,1875
después,nicolas_avellaneda,1875
haber,nicolas_avellaneda,1875
iniciado,nicolas_avellaneda,1875
ri,nicolas_avellaneda,1875
administración,nicolas_avellaneda,1875
pude,nicolas_avellaneda,1875
convocar,nicolas_avellaneda,1875
numerosa,nicolas_avellaneda,1875
revista,nicolas_avellaneda,1875
militar,nicolas_avellaneda,1875
presenciado,nicolas_avellaneda,1875
república,nicolas_avellaneda,1875
declarar,nicolas_avellaneda,1875
guerra,nicolas_avellaneda,1875
concluída,nicolas_avellaneda,1875
paz,nicolas_avellaneda,1875
firmemente,nicolas_avellaneda,1875
restablecida,nicolas_avellaneda,1875
voluntad,nicolas_avellaneda,1875
nacional,nicolas_avellaneda,1875
triunfante,nicolas_avellaneda,1875
comicios,nicolas_avellaneda,1875
batallas,nicolas_avellaneda,1875
devolviendo,nicolas_avellaneda,1875
sua,nicolas_avellaneda,1875
hogares,nicolas_avellaneda,1875
soldados,nicolas_avellaneda,1875
licenciaba,nicolas_avellaneda,1875
victoria,nicolas_avellaneda,1875
obtenida,nicolas_avellaneda,1875
esfuerzos,nicolas_avellaneda,1875
soldados,nicolas_avellaneda,1875
jefes,nicolas_avellaneda,1875
pueblos,nicolas_avellaneda,1875
gobiernos,nicolas_avellaneda,1875
cumplieran,nicolas_avellaneda,1875
deber,nicolas_avellaneda,1875
podemos,nicolas_avellaneda,1875
afirmar,nicolas_avellaneda,1875
juicio,nicolas_avellaneda,1875
presencia,nicolas_avellaneda,1875
juicios,nicolas_avellaneda,1875
imparciales,nicolas_avellaneda,1875
extraños,nicolas_avellaneda,1875
europa,nicolas_avellaneda,1875
araérica,nicolas_avellaneda,1875
aplaudido,nicolas_avellaneda,1875
porfía,nicolas_avellaneda,1875
espectáculo,nicolas_avellaneda,1875
nuevo,nicolas_avellaneda,1875
nación,nicolas_avellaneda,1875
sudamericana,nicolas_avellaneda,1875
superior,nicolas_avellaneda,1875
anarquia,nicolas_avellaneda,1875
emancipada,nicolas_avellaneda,1875
jus,nicolas_avellaneda,1875
influencias,nicolas_avellaneda,1875
personales,nicolas_avellaneda,1875
manteniendo,nicolas_avellaneda,1875
esfuerzo,nicolas_avellaneda,1875
viril,nicolas_avellaneda,1875
gobierno,nicolas_avellaneda,1875
único,nicolas_avellaneda,1875
medio,nicolas_avellaneda,1875
asegurar,nicolas_avellaneda,1875
paz,nicolas_avellaneda,1875
proseguir,nicolas_avellaneda,1875
camino,nicolas_avellaneda,1875
conquistas,nicolas_avellaneda,1875
graduales,nicolas_avellaneda,1875
desenvolvimientos,nicolas_avellaneda,1875
pacíficos,nicolas_avellaneda,1875
europa,nicolas_avellaneda,1875
dispensadora,nicolas_avellaneda,1875
crédito,nicolas_avellaneda,1875
comercial,nicolas_avellaneda,1875
apoya,nicolas_avellaneda,1875
confianza,nicolas_avellaneda,1875
dió,nicolas_avellaneda,1875
signilicación,nicolas_avellaneda,1875
hechos,nicolas_avellaneda,1875
nuestro3,nicolas_avellaneda,1875
bonos,nicolas_avellaneda,1875
cotizaron,nicolas_avellaneda,1875
bolsa,nicolas_avellaneda,1875
londres,nicolas_avellaneda,1875
mescs,nicolas_avellaneda,1875
enero,nicolas_avellaneda,1875
febrero,nicolas_avellaneda,1875
noventa,nicolas_avellaneda,1875
decir,nicolas_avellaneda,1875
precio,nicolas_avellaneda,1875
máximo,nicolas_avellaneda,1875
alcanzado,nicolas_avellaneda,1875
mercados,nicolas_avellaneda,1875
europeos,nicolas_avellaneda,1875
situación,nicolas_avellaneda,1875
creada,nicolas_avellaneda,1875
terminación,nicolas_avellaneda,1875
guerra,nicolas_avellaneda,1875
continúa,nicolas_avellaneda,1875
fundamentalmente,nicolas_avellaneda,1875
orden,nicolas_avellaneda,1875
actual,nicolas_avellaneda,1875
gobierno,nicolas_avellaneda,1875
paz,nicolas_avellaneda,1875
pública,nicolas_avellaneda,1875
reposan,nicolas_avellaneda,1875
bases,nicolas_avellaneda,1875
inconmovibles,nicolas_avellaneda,1875
apoyo,nicolas_avellaneda,1875
república,nicolas_avellaneda,1875
entera,nicolas_avellaneda,1875
exceptuando,nicolas_avellaneda,1875
centenares,nicolas_avellaneda,1875
personas,nicolas_avellaneda,1875
repudiaron,nicolas_avellaneda,1875
veredicto,nicolas_avellaneda,1875
voluntad,nicolas_avellaneda,1875
nacional,nicolas_avellaneda,1875
comicios,nicolas_avellaneda,1875
pronunciamiento,nicolas_avellaneda,1875
ley,nicolas_avellaneda,1875
órgano,nicolas_avellaneda,1875
tarde,nicolas_avellaneda,1875
demostraciones,nicolas_avellaneda,1875
irrecusables,nicolas_avellaneda,1875
victoria,nicolas_avellaneda,1875
repudian,nicolas_avellaneda,1875
beneficios,nicolas_avellaneda,1875
política,nicolas_avellaneda,1875
clemente,nicolas_avellaneda,1875
queriendo,nicolas_avellaneda,1875
convertir,nicolas_avellaneda,1875
dolencias,nicolas_avellaneda,1875
públicas,nicolas_avellaneda,1875
perturbaciones,nicolas_avellaneda,1875
aquejan,nicolas_avellaneda,1875
espiritus,nicolas_avellaneda,1875
venís,nicolas_avellaneda,1875
partes,nicolas_avellaneda,1875
sabéis,nicolas_avellaneda,1875
reposan,nicolas_avellaneda,1875
confiados,nicolas_avellaneda,1875
presente,nicolas_avellaneda,1875
mirando,nicolas_avellaneda,1875
alarmas,nicolas_avellaneda,1875
porveair,nicolas_avellaneda,1875
presidir,nicolas_avellaneda,1875
apertura,nicolas_avellaneda,1875
sesiones,nicolas_avellaneda,1875
querido,nicolas_avellaneda,1875
dar,nicolas_avellaneda,1875
propios,nicolas_avellaneda,1875
extraños,nicolas_avellaneda,1875
testimonio,nicolas_avellaneda,1875
evidente,nicolas_avellaneda,1875
verdad,nicolas_avellaneda,1875
dejando,nicolas_avellaneda,1875
asiento,nicolas_avellaneda,1875
gobierno,nicolas_avellaneda,1875
atravesando,nicolas_avellaneda,1875
provincia,nicolas_avellaneda,1875
ayer,nicolas_avellaneda,1875
conmovida,nicolas_avellaneda,1875
rios,nicolas_avellaneda,1875
trasladándome,nicolas_avellaneda,1875
soldado,nicolas_avellaneda,1875
extremo,nicolas_avellaneda,1875
límite,nicolas_avellaneda,1875
fronteras,nicolas_avellaneda,1875
encontrado,nicolas_avellaneda,1875
pueblos,nicolas_avellaneda,1875
hombres,nicolas_avellaneda,1875
penetrados,nicolas_avellaneda,1875
adhesión,nicolas_avellaneda,1875
nación,nicolas_avellaneda,1875
gobierno,nicolas_avellaneda,1875
agitados,nicolas_avellaneda,1875
miras,nicolas_avellaneda,1875
progreso,nicolas_avellaneda,1875
leyes,nicolas_avellaneda,1875
breve,nicolas_avellaneda,1875
tiempo,nicolas_avellaneda,1875
realizar,nicolas_avellaneda,1875
política,nicolas_avellaneda,1875
rebelión,nicolas_avellaneda,1875
política,nicolas_avellaneda,1875
podía,nicolas_avellaneda,1875
consistir,nicolas_avellaneda,1875
síno,nicolas_avellaneda,1875
acumular,nicolas_avellaneda,1875
elementos,nicolas_avellaneda,1875
vencer,nicolas_avellaneda,1875
reunieron,nicolas_avellaneda,1875
partes,nicolas_avellaneda,1875
actividad,nicolas_avellaneda,1875
presteza,nicolas_avellaneda,1875
espontaneidad,nicolas_avellaneda,1875
ejemplo,nicolas_avellaneda,1875
historia,nicolas_avellaneda,1875
contemporánea,nicolas_avellaneda,1875
leyes,nicolas_avellaneda,1875
guerra,nicolas_avellaneda,1875
imperaban,nicolas_avellaneda,1875
ciudades,nicolas_avellaneda,1875
convertido,nicolas_avellaneda,1875
verdaderas,nicolas_avellaneda,1875
plazas,nicolas_avellaneda,1875
fuertes,nicolas_avellaneda,1875
sitio,nicolas_avellaneda,1875
hallaba,nicolas_avellaneda,1875
declarado,nicolas_avellaneda,1875
república,nicolas_avellaneda,1875
poder,nicolas_avellaneda,1875
ejecutivo,nicolas_avellaneda,1875
guerra,nicolas_avellaneda,1875
momentos,nicolas_avellaneda,1875
graves,nicolas_avellaneda,1875
usó,nicolas_avellaneda,1875
casos,nicolas_avellaneda,1875
facultades,nicolas_avellaneda,1875
excepcionales,nicolas_avellaneda,1875
conferidas,nicolas_avellaneda,1875
creyendo,nicolas_avellaneda,1875
inútiles,nicolas_avellaneda,1875
arrestos,nicolas_avellaneda,1875
pesquisas,nicolas_avellaneda,1875
individuales,nicolas_avellaneda,1875
encontraba,nicolas_avellaneda,1875
librado,nicolas_avellaneda,1875
suerte,nicolas_avellaneda,1875
armas,nicolas_avellaneda,1875
queriendo,nicolas_avellaneda,1875
actos,nicolas_avellaneda,1875
apareciera,nicolas_avellaneda,1875
intento,nicolas_avellaneda,1875
persecitciones,nicolas_avellaneda,1875
personales,nicolas_avellaneda,1875
pasada,nicolas_avellaneda,1875
guerra,nicolas_avellaneda,1875
quedó,nicolas_avellaneda,1875
sustancialmente,nicolas_avellaneda,1875
adoptada,nicolas_avellaneda,1875
política,nicolas_avellaneda,1875
calificada,nicolas_avellaneda,1875
unánimemente,nicolas_avellaneda,1875
palabras,nicolas_avellaneda,1875
pertenecen,nicolas_avellaneda,1875
prensa,nicolas_avellaneda,1875
do,nicolas_avellaneda,1875
naciones,nicolas_avellaneda,1875
observan,nicolas_avellaneda,1875
actos,nicolas_avellaneda,1875
convicción,nicolas_avellaneda,1875
universal,nicolas_avellaneda,1875
ámerica,nicolas_avellaneda,1875
española,nicolas_avellaneda,1875
aplicó,nicolas_avellaneda,1875
conducta,nicolas_avellaneda,1875
igualmente,nicolas_avellaneda,1875
tolerante,nicolas_avellaneda,1875
benigna,nicolas_avellaneda,1875
represión,nicolas_avellaneda,1875
movimiento,nicolas_avellaneda,1875
insurreccional,nicolas_avellaneda,1875
capitulación,nicolas_avellaneda,1875
coronel,nicolas_avellaneda,1875
arias,nicolas_avellaneda,1875
suscribió,nicolas_avellaneda,1875
junin,nicolas_avellaneda,1875
fué,nicolas_avellaneda,1875
ejecutada,nicolas_avellaneda,1875
gobierno,nicolas_avellaneda,1875
