word,presidente,year
satisfacción,julio_A_Roca,1885
anunciaros,julio_A_Roca,1885
paz,julio_A_Roca,1885
interna,julio_A_Roca,1885
alterado,julio_A_Roca,1885
continuamos,julio_A_Roca,1885
conservando,julio_A_Roca,1885
mejor,julio_A_Roca,1885
amistad,julio_A_Roca,1885
naciones,julio_A_Roca,1885
incidente,julio_A_Roca,1885
diplomático,julio_A_Roca,1885
lugar,julio_A_Roca,1885
finalizar,julio_A_Roca,1885
sesiones,julio_A_Roca,1885
pasado,julio_A_Roca,1885
nuncio,julio_A_Roca,1885
santidad,julio_A_Roca,1885
seguido,julio_A_Roca,1885
curso,julio_A_Roca,1885
corresponde,julio_A_Roca,1885
reglas,julio_A_Roca,1885
derecho,julio_A_Roca,1885
internacional,julio_A_Roca,1885
señor,julio_A_Roca,1885
ministro,julio_A_Roca,1885
relaciones,julio_A_Roca,1885
exteriores,julio_A_Roca,1885
pondrá,julio_A_Roca,1885
oportunamente,julio_A_Roca,1885
conocimiento,julio_A_Roca,1885
antecedentes,julio_A_Roca,1885
caso,julio_A_Roca,1885
prosigue,julio_A_Roca,1885
anhelo,julio_A_Roca,1885
marcha,julio_A_Roca,1885
próspera,julio_A_Roca,1885
desarrollo,julio_A_Roca,1885
fuerzas,julio_A_Roca,1885
morales,julio_A_Roca,1885
intelectuales,julio_A_Roca,1885
materiales,julio_A_Roca,1885
conquista,julio_A_Roca,1885
nuevos,julio_A_Roca,1885
elementos,julio_A_Roca,1885
cobra,julio_A_Roca,1885
nuevo,julio_A_Roca,1885
vigor,julio_A_Roca,1885
poder,julio_A_Roca,1885
ejecutivo,julio_A_Roca,1885
parte,julio_A_Roca,1885
puesto,julio_A_Roca,1885
mayor,julio_A_Roca,1885
celo,julio_A_Roca,1885
desempeño,julio_A_Roca,1885
múltiples,julio_A_Roca,1885
tareas,julio_A_Roca,1885
administrativas,julio_A_Roca,1885
economizando,julio_A_Roca,1885
trabajo,julio_A_Roca,1885
tiempo,julio_A_Roca,1885
medios,julio_A_Roca,1885
atender,julio_A_Roca,1885
pudiese,julio_A_Roca,1885
