word,presidente,year
mensaje,miguel_juarez_celman,1888
complazco,miguel_juarez_celman,1888
daros,miguel_juarez_celman,1888
bienvenida,miguel_juarez_celman,1888
recinto,miguel_juarez_celman,1888
inaugurar,miguel_juarez_celman,1888
segundo,miguel_juarez_celman,1888
periodo,miguel_juarez_celman,1888
uves,miguel_juarez_celman,1888
sesiones,miguel_juarez_celman,1888
administración,miguel_juarez_celman,1888
cm,miguel_juarez_celman,1888
alienta,miguel_juarez_celman,1888
satisfacción,miguel_juarez_celman,1888
laboro,miguel_juarez_celman,1888
sudad,miguel_juarez_celman,1888
inteligencia,miguel_juarez_celman,1888
responderán,miguel_juarez_celman,1888
legítimas,miguel_juarez_celman,1888
aspiraciones,miguel_juarez_celman,1888
república,miguel_juarez_celman,1888
verdad,miguel_juarez_celman,1888
franqueza,miguel_juarez_celman,1888
cuadra,miguel_juarez_celman,1888
carácter,miguel_juarez_celman,1888
instituciones,miguel_juarez_celman,1888
habitual,miguel_juarez_celman,1888
daré,miguel_juarez_celman,1888
cuenta,miguel_juarez_celman,1888
hechos,miguel_juarez_celman,1888
importantes,miguel_juarez_celman,1888
far,miguel_juarez_celman,1888
gobierno,miguel_juarez_celman,1888
esperando,miguel_juarez_celman,1888
rencor,miguel_juarez_celman,1888
darlos,miguel_juarez_celman,1888
encontraréis,miguel_juarez_celman,1888
motivos,miguel_juarez_celman,1888
congratulación,miguel_juarez_celman,1888
nuevas,miguel_juarez_celman,1888
bases,miguel_juarez_celman,1888
nobles,miguel_juarez_celman,1888
esperanzas,miguel_juarez_celman,1888
política,miguel_juarez_celman,1888
gobierno,miguel_juarez_celman,1888
paz,miguel_juarez_celman,1888
tolerancia,miguel_juarez_celman,1888
conciliación,miguel_juarez_celman,1888
libertad,miguel_juarez_celman,1888
amplia,miguel_juarez_celman,1888
manifestaciones,miguel_juarez_celman,1888
opinión,miguel_juarez_celman,1888
ejercicio,miguel_juarez_celman,1888
derechos,miguel_juarez_celman,1888
cois,miguel_juarez_celman,1888
titulado,miguel_juarez_celman,1888
expresión,miguel_juarez_celman,1888
elocuente,miguel_juarez_celman,1888
vida,miguel_juarez_celman,1888
racional,miguel_juarez_celman,1888
gobierno,miguel_juarez_celman,1888
república,miguel_juarez_celman,1888
acatado,miguel_juarez_celman,1888
cora,miguel_juarez_celman,1888
liderado,miguel_juarez_celman,1888
exterior,miguel_juarez_celman,1888
igualmente,miguel_juarez_celman,1888
interior,miguel_juarez_celman,1888
paisana,miguel_juarez_celman,1888
cuyos,miguel_juarez_celman,1888
dan,miguel_juarez_celman,1888
consta,miguel_juarez_celman,1888
tes,miguel_juarez_celman,1888
testimonios,miguel_juarez_celman,1888
respeto,miguel_juarez_celman,1888
poder,miguel_juarez_celman,1888
general,miguel_juarez_celman,1888
pruebas,miguel_juarez_celman,1888
inequívocas,miguel_juarez_celman,1888
adhesión,miguel_juarez_celman,1888
cota,miguel_juarez_celman,1888
fianza,miguel_juarez_celman,1888
procederes,miguel_juarez_celman,1888
comparando,miguel_juarez_celman,1888
presente,miguel_juarez_celman,1888
épocas,miguel_juarez_celman,1888
desga,miguel_juarez_celman,1888
ciada,miguel_juarez_celman,1888
mente,miguel_juarez_celman,1888
lejanas,miguel_juarez_celman,1888
cese,miguel_juarez_celman,1888
inmenso,miguel_juarez_celman,1888
trayecto,miguel_juarez_celman,1888
to,miguel_juarez_celman,1888
recorrido,miguel_juarez_celman,1888
comprueba,miguel_juarez_celman,1888
manera,miguel_juarez_celman,1888
palpable,miguel_juarez_celman,1888
progreso,miguel_juarez_celman,1888
alcanzado,miguel_juarez_celman,1888
práctica,miguel_juarez_celman,1888
instituciones,miguel_juarez_celman,1888
rigen,miguel_juarez_celman,1888
capítulo,miguel_juarez_celman,1888
consagrado,miguel_juarez_celman,1888
política,miguel_juarez_celman,1888
is,miguel_juarez_celman,1888
documentos,miguel_juarez_celman,1888
públicos,miguel_juarez_celman,1888
indice,miguel_juarez_celman,1888
horrores,miguel_juarez_celman,1888
guerra,miguel_juarez_celman,1888
civil,miguel_juarez_celman,1888
enumeración,miguel_juarez_celman,1888
atentados,miguel_juarez_celman,1888
vida,miguel_juarez_celman,1888
fortuna,miguel_juarez_celman,1888
ciudadanos,miguel_juarez_celman,1888
catálogo,miguel_juarez_celman,1888
desgracias,miguel_juarez_celman,1888
pueblo,miguel_juarez_celman,1888
oprimido,miguel_juarez_celman,1888
maltratado,miguel_juarez_celman,1888
caudillaje,miguel_juarez_celman,1888
inculto,miguel_juarez_celman,1888
salido,miguel_juarez_celman,1888
soledades,miguel_juarez_celman,1888
desierto,miguel_juarez_celman,1888
revisa,miguel_juarez_celman,1888
tiendo,miguel_juarez_celman,1888
formas,miguel_juarez_celman,1888
exteriores,miguel_juarez_celman,1888
civilización,miguel_juarez_celman,1888
menos,miguel_juarez_celman,1888
arbitrario,miguel_juarez_celman,1888
temible,miguel_juarez_celman,1888
ligero,miguel_juarez_celman,1888
conflicto,miguel_juarez_celman,1888
local,miguel_juarez_celman,1888
seguían,miguel_juarez_celman,1888
recuerdan,miguel_juarez_celman,1888
jóvenes,miguel_juarez_celman,1888
presente,miguel_juarez_celman,1888
generación,miguel_juarez_celman,1888
luchas,miguel_juarez_celman,1888
sangrientas,miguel_juarez_celman,1888
emigra,miguel_juarez_celman,1888
cienos,miguel_juarez_celman,1888
abandono,miguel_juarez_celman,1888
trabajo,miguel_juarez_celman,1888
muchas,miguel_juarez_celman,1888
veces,miguel_juarez_celman,1888
mal,miguel_juarez_celman,1888
provincia,miguel_juarez_celman,1888
provincia,miguel_juarez_celman,1888
requiriendo,miguel_juarez_celman,1888
intervenciones,miguel_juarez_celman,1888
triunfaban,miguel_juarez_celman,1888
revuelta,miguel_juarez_celman,1888
revoltosos,miguel_juarez_celman,1888
terrible,miguel_juarez_celman,1888
medio,miguel_juarez_celman,1888
violencia,miguel_juarez_celman,1888
muerte,miguel_juarez_celman,1888
nombre,miguel_juarez_celman,1888
nación,miguel_juarez_celman,1888
exterior,miguel_juarez_celman,1888
símbolo,miguel_juarez_celman,1888
anarquía,miguel_juarez_celman,1888
anulaba,miguel_juarez_celman,1888
probabilidad,miguel_juarez_celman,1888
crédito,miguel_juarez_celman,1888
económico,miguel_juarez_celman,1888
vida,miguel_juarez_celman,1888
perpetua,miguel_juarez_celman,1888
inquietud,miguel_juarez_celman,1888
quitaba,miguel_juarez_celman,1888
estímulo,miguel_juarez_celman,1888
trabajo,miguel_juarez_celman,1888
aparto,miguel_juarez_celman,1888
palabras,miguel_juarez_celman,1888
propósito,miguel_juarez_celman,1888
acriminación,miguel_juarez_celman,1888
gobiernos,miguel_juarez_celman,1888
soportaron,miguel_juarez_celman,1888
índole,miguel_juarez_celman,1888
épocas,miguel_juarez_celman,1888
historia,miguel_juarez_celman,1888
implacable,miguel_juarez_celman,1888
narraciones,miguel_juarez_celman,1888
permite,miguel_juarez_celman,1888
desconocer,miguel_juarez_celman,1888
hechos,miguel_juarez_celman,1888
deploran,miguel_juarez_celman,1888
do,miguel_juarez_celman,1888
