word,presidente,year
mensaje,jose_evaristo_uriburu,1895
liamado,jose_evaristo_uriburu,1895
recientemente,jose_evaristo_uriburu,1895
mandato,jose_evaristo_uriburu,1895
cons,jose_evaristo_uriburu,1895
titución,jose_evaristo_uriburu,1895
reemplazar,jose_evaristo_uriburu,1895
puesto,jose_evaristo_uriburu,1895
presidente,jose_evaristo_uriburu,1895
república,jose_evaristo_uriburu,1895
digno,jose_evaristo_uriburu,1895
ciudadano,jose_evaristo_uriburu,1895
dejó,jose_evaristo_uriburu,1895
ejercer,jose_evaristo_uriburu,1895
cargo,jose_evaristo_uriburu,1895
renuncia,jose_evaristo_uriburu,1895
espontánea,jose_evaristo_uriburu,1895
tócame,jose_evaristo_uriburu,1895
cumplir,jose_evaristo_uriburu,1895
hon,jose_evaristo_uriburu,1895
roso,jose_evaristo_uriburu,1895
deber,jose_evaristo_uriburu,1895
abrir,jose_evaristo_uriburu,1895
sesiones,jose_evaristo_uriburu,1895
ordinarias,jose_evaristo_uriburu,1895
presente,jose_evaristo_uriburu,1895
periodo,jose_evaristo_uriburu,1895
vais,jose_evaristo_uriburu,1895
inaugurarlas,jose_evaristo_uriburu,1895
condiciones,jose_evaristo_uriburu,1895
propicias,jose_evaristo_uriburu,1895
labor,jose_evaristo_uriburu,1895
legislativa,jose_evaristo_uriburu,1895
bajo,jose_evaristo_uriburu,1895
auspicios,jose_evaristo_uriburu,1895
paz,jose_evaristo_uriburu,1895
interior,jose_evaristo_uriburu,1895
exterior,jose_evaristo_uriburu,1895
atención,jose_evaristo_uriburu,1895
solicitada,jose_evaristo_uriburu,1895
cuestiones,jose_evaristo_uriburu,1895
mu,jose_evaristo_uriburu,1895
chas,jose_evaristo_uriburu,1895
veces,jose_evaristo_uriburu,1895
ardientes,jose_evaristo_uriburu,1895
estériles,jose_evaristo_uriburu,1895
jas,jose_evaristo_uriburu,1895
vida,jose_evaristo_uriburu,1895
democrática,jose_evaristo_uriburu,1895
suelen,jose_evaristo_uriburu,1895
apasionar,jose_evaristo_uriburu,1895
partidos,jose_evaristo_uriburu,1895
políticos,jose_evaristo_uriburu,1895
contando,jose_evaristo_uriburu,1895
concurso,jose_evaristo_uriburu,1895
opinión,jose_evaristo_uriburu,1895
pública,jose_evaristo_uriburu,1895
espera,jose_evaristo_uriburu,1895
an,jose_evaristo_uriburu,1895
helosa,jose_evaristo_uriburu,1895
sanción,jose_evaristo_uriburu,1895
leyes,jose_evaristo_uriburu,1895
tramitación,jose_evaristo_uriburu,1895
iniciadas,jose_evaristo_uriburu,1895
destinadas,jose_evaristo_uriburu,1895
garantir,jose_evaristo_uriburu,1895
libre,jose_evaristo_uriburu,1895
ejercicio,jose_evaristo_uriburu,1895
derechos,jose_evaristo_uriburu,1895
delos,jose_evaristo_uriburu,1895
ciudadanos,jose_evaristo_uriburu,1895
regularizar,jose_evaristo_uriburu,1895
diversos,jose_evaristo_uriburu,1895
servicios,jose_evaristo_uriburu,1895
administrativos,jose_evaristo_uriburu,1895
impulsar,jose_evaristo_uriburu,1895
desenvolvimiento,jose_evaristo_uriburu,1895
elementos,jose_evaristo_uriburu,1895
prosperidad,jose_evaristo_uriburu,1895
república,jose_evaristo_uriburu,1895
sucesión,jose_evaristo_uriburu,1895
mando,jose_evaristo_uriburu,1895
na,jose_evaristo_uriburu,1895
ción,jose_evaristo_uriburu,1895
efectuado,jose_evaristo_uriburu,1895
orden,jose_evaristo_uriburu,1895
constitucional,jose_evaristo_uriburu,1895
forma,jose_evaristo_uriburu,1895
perfectamente,jose_evaristo_uriburu,1895
correcta,jose_evaristo_uriburu,1895
perturbado,jose_evaristo_uriburu,1895
marcha,jose_evaristo_uriburu,1895
regular,jose_evaristo_uriburu,1895
administración,jose_evaristo_uriburu,1895
seguido,jose_evaristo_uriburu,1895
funcionando,jose_evaristo_uriburu,1895
interrupción,jose_evaristo_uriburu,1895
condiciones,jose_evaristo_uriburu,1895
ordinatías,jose_evaristo_uriburu,1895
parte,jose_evaristo_uriburu,1895
procurado,jose_evaristo_uriburu,1895
dar,jose_evaristo_uriburu,1895
relieve,jose_evaristo_uriburu,1895
circunstancias,jose_evaristo_uriburu,1895
evitando,jose_evaristo_uriburu,1895
manifes,jose_evaristo_uriburu,1895
taciones,jose_evaristo_uriburu,1895
externas,jose_evaristo_uriburu,1895
revelasen,jose_evaristo_uriburu,1895
quier,jose_evaristo_uriburu,1895
alteración,jose_evaristo_uriburu,1895
vida,jose_evaristo_uriburu,1895
normal,jose_evaristo_uriburu,1895
considero,jose_evaristo_uriburu,1895
ofrecemos,jose_evaristo_uriburu,1895
juicio,jose_evaristo_uriburu,1895
observan,jose_evaristo_uriburu,1895
prueba,jose_evaristo_uriburu,1895
firmeza,jose_evaristo_uriburu,1895
instituciones,jose_evaristo_uriburu,1895
par,jose_evaristo_uriburu,1895
demostración,jose_evaristo_uriburu,1895
elocuente,jose_evaristo_uriburu,1895
altura,jose_evaristo_uriburu,1895
alcanza,jose_evaristo_uriburu,1895
educación,jose_evaristo_uriburu,1895
cívica,jose_evaristo_uriburu,1895
pueblo,jose_evaristo_uriburu,1895
argentino,jose_evaristo_uriburu,1895
debo,jose_evaristo_uriburu,1895
declararos,jose_evaristo_uriburu,1895
ocasión,jose_evaristo_uriburu,1895
primera,jose_evaristo_uriburu,1895
proporciona,jose_evaristo_uriburu,1895
honra,jose_evaristo_uriburu,1895
dirigiros,jose_evaristo_uriburu,1895
palabra,jose_evaristo_uriburu,1895
mantengo,jose_evaristo_uriburu,1895
patriótico,jose_evaristo_uriburu,1895
programa,jose_evaristo_uriburu,1895
elección,jose_evaristo_uriburu,1895
trajo,jose_evaristo_uriburu,1895
puesto,jose_evaristo_uriburu,1895
ocupo,jose_evaristo_uriburu,1895
voz,jose_evaristo_uriburu,1895
pública,jose_evaristo_uriburu,1895
calificó,jose_evaristo_uriburu,1895
propósitos,jose_evaristo_uriburu,1895
alcance,jose_evaristo_uriburu,1895
programa,jose_evaristo_uriburu,1895
expresión,jose_evaristo_uriburu,1895
sintética,jose_evaristo_uriburu,1895
reparación,jose_evaristo_uriburu,1895
entiendo,jose_evaristo_uriburu,1895
aspiración,jose_evaristo_uriburu,1895
generosa,jose_evaristo_uriburu,1895
establecimiento,jose_evaristo_uriburu,1895
gobierno,jose_evaristo_uriburu,1895
moderado,jose_evaristo_uriburu,1895
tiempo,jose_evaristo_uriburu,1895
qne,jose_evaristo_uriburu,1895
eficaz,jose_evaristo_uriburu,1895
garantir,jose_evaristo_uriburu,1895
pueblo,jose_evaristo_uriburu,1895
libertad,jose_evaristo_uriburu,1895
correcta,jose_evaristo_uriburu,1895
administración,jose_evaristo_uriburu,1895
intereses,jose_evaristo_uriburu,1895
tranquilidad,jose_evaristo_uriburu,1895
orden,jose_evaristo_uriburu,1895
legal,jose_evaristo_uriburu,1895
dar,jose_evaristo_uriburu,1895
satisfacción,jose_evaristo_uriburu,1895
triple,jose_evaristo_uriburu,1895
mandato,jose_evaristo_uriburu,1895
condición,jose_evaristo_uriburu,1895
acepto,jose_evaristo_uriburu,1895
entiendo,jose_evaristo_uriburu,1895
basta,jose_evaristo_uriburu,1895
afirmar,jose_evaristo_uriburu,1895
imperio,jose_evaristo_uriburu,1895
instituciones,jose_evaristo_uriburu,1895
cuyo,jose_evaristo_uriburu,1895
funcionamiento,jose_evaristo_uriburu,1895
regular,jose_evaristo_uriburu,1895
encierra,jose_evaristo_uriburu,1895
fórmula,jose_evaristo_uriburu,1895
concreta,jose_evaristo_uriburu,1895
garantía,jose_evaristo_uriburu,1895
ampara,jose_evaristo_uriburu,1895
libertades,jose_evaristo_uriburu,1895
públicas,jose_evaristo_uriburu,1895
vigilar,jose_evaristo_uriburu,1895
escrupulosa,jose_evaristo_uriburu,1895
aplicación,jose_evaristo_uriburu,1895
leyes,jose_evaristo_uriburu,1895
cautelan,jose_evaristo_uriburu,1895
pureza,jose_evaristo_uriburu,1895
procedimientos,jose_evaristo_uriburu,1895
fiscales,jose_evaristo_uriburu,1895
bases,jose_evaristo_uriburu,1895
dejaremos,jose_evaristo_uriburu,1895
establecida,jose_evaristo_uriburu,1895
paz,jose_evaristo_uriburu,1895
condición,jose_evaristo_uriburu,1895
esencial,jose_evaristo_uriburu,1895
progreso,jose_evaristo_uriburu,1895
república,jose_evaristo_uriburu,1895
concurrirá,jose_evaristo_uriburu,1895
propósito,jose_evaristo_uriburu,1895
alta,jose_evaristo_uriburu,1895
discreción,jose_evaristo_uriburu,1895
encuadrada,jose_evaristo_uriburu,1895
disposiciones,jose_evaristo_uriburu,1895
constitución,jose_evaristo_uriburu,1895
preside,jose_evaristo_uriburu,1895
relaciones,jose_evaristo_uriburu,1895
poder,jose_evaristo_uriburu,1895
central,jose_evaristo_uriburu,1895
