word,presidente,year
mensaje,julio_a_roca,1899
propiedad,julio_a_roca,1899
decirse,julio_a_roca,1899
congreso,julio_a_roca,1899
nacional,julio_a_roca,1899
abre,julio_a_roca,1899
bajo,julio_a_roca,1899
auspicios,julio_a_roca,1899
paz,julio_a_roca,1899
interior,julio_a_roca,1899
exterior,julio_a_roca,1899
república,julio_a_roca,1899
entrega,julio_a_roca,1899
trabajo,julio_a_roca,1899
empresas,julio_a_roca,1899
dependen,julio_a_roca,1899
prosperidad,julio_a_roca,1899
riqueza,julio_a_roca,1899
llena,julio_a_roca,1899
confianza,julio_a_roca,1899
estabilidad,julio_a_roca,1899
presente,julio_a_roca,1899
promesas,julio_a_roca,1899
tuturo,julio_a_roca,1899
terminadas,julio_a_roca,1899
arbitraje,julio_a_roca,1899
antiguas,julio_a_roca,1899
cuestiones,julio_a_roca,1899
territoriales,julio_a_roca,1899
paraguay,julio_a_roca,1899
brasil,julio_a_roca,1899
arregladas,julio_a_roca,1899
amisto,julio_a_roca,1899
sa,julio_a_roca,1899
directamente,julio_a_roca,1899
dificultades,julio_a_roca,1899
bolivia,julio_a_roca,1899
acabamos,julio_a_roca,1899
cortar,julio_a_roca,1899
igual,julio_a_roca,1899
disidencia,julio_a_roca,1899
norte,julio_a_roca,1899
re,julio_a_roca,1899
pública,julio_a_roca,1899
chile,julio_a_roca,1899
gobierno,julio_a_roca,1899
majestad,julio_a_roca,1899
británica,julio_a_roca,1899
estudia,julio_a_roca,1899
cuestión,julio_a_roca,1899
sur,julio_a_roca,1899
sometida,julio_a_roca,1899
países,julio_a_roca,1899
augusto,julio_a_roca,1899
fallo,julio_a_roca,1899
podemos,julio_a_roca,1899
asi,julio_a_roca,1899
dar,julio_a_roca,1899
resueltas,julio_a_roca,1899
luego,julio_a_roca,1899
últimas,julio_a_roca,1899
cuestiones,julio_a_roca,1899
límites,julio_a_roca,1899
tiempo,julio_a_roca,1899
tiempo,julio_a_roca,1899
turbaban,julio_a_roca,1899
relaciones,julio_a_roca,1899
internacionales,julio_a_roca,1899
momentos,julio_a_roca,1899
amenazaron,julio_a_roca,1899
ruptura,julio_a_roca,1899
violenta,julio_a_roca,1899
guerra,julio_a_roca,1899
implacable,julio_a_roca,1899
vergiienza,julio_a_roca,1899
américa,julio_a_roca,1899
escándalo,julio_a_roca,1899
mundo,julio_a_roca,1899
adelante,julio_a_roca,1899
paz,julio_a_roca,1899
paz,julio_a_roca,1899
limítrofes,julio_a_roca,1899
naciones,julio_a_roca,1899
dejaremos,julio_a_roca,1899
invertir,julio_a_roca,1899
parte,julio_a_roca,1899
considerable,julio_a_roca,1899
renta,julio_a_roca,1899
pública,julio_a_roca,1899
elementos,julio_a_roca,1899
destrucción,julio_a_roca,1899
emplearemos,julio_a_roca,1899
activar,julio_a_roca,1899
progresos,julio_a_roca,1899
orden,julio_a_roca,1899
llegar,julio_a_roca,1899
gran,julio_a_roca,1899
nación,julio_a_roca,1899
vislumbrado,julio_a_roca,1899
patriotismo,julio_a_roca,1899
demarcación,julio_a_roca,1899
puna,julio_a_roca,1899
atacama,julio_a_roca,1899
acaba,julio_a_roca,1899
resolverse,julio_a_roca,1899
importancia,julio_a_roca,1899
superior,julio_a_roca,1899
valor,julio_a_roca,1899
territorios,julio_a_roca,1899
litigio,julio_a_roca,1899
vela,julio_a_roca,1899
qeu,julio_a_roca,1899
riitorios,julio_a_roca,1899
litigio,julio_a_roca,1899
na,julio_a_roca,1899
puesto,julio_a_roca,1899
término,julio_a_roca,1899
largo,julio_a_roca,1899
período,julio_a_roca,1899
zozobras,julio_a_roca,1899
inquietudes,julio_a_roca,1899
causa,julio_a_roca,1899
sacrificios,julio_a_roca,1899
pueblos,julio_a_roca,1899
concluído,julio_a_roca,1899
entenderse,julio_a_roca,1899
siguiendo,julio_a_roca,1899
sanas,julio_a_roca,1899
inspiraciones,julio_a_roca,1899
razón,julio_a_roca,1899
consultando,julio_a_roca,1899
propias,julio_a_roca,1899
conveniencias,julio_a_roca,1899
obra,julio_a_roca,1899
comisión,julio_a_roca,1899
formada,julio_a_roca,1899
ciudadanos,julio_a_roca,1899
espectables,julio_a_roca,1899
reunidos,julio_a_roca,1899
capital,julio_a_roca,1899
acontecimiento,julio_a_roca,1899
entrevista,julio_a_roca,1899
motivo,julio_a_roca,1899
reciente,julio_a_roca,1899
viaje,julio_a_roca,1899
territorios,julio_a_roca,1899
sur,julio_a_roca,1899
satisfacción,julio_a_roca,1899
celebrar,julio_a_roca,1899
excelentísimo,julio_a_roca,1899
presidente,julio_a_roca,1899
chile,julio_a_roca,1899
magallanes,julio_a_roca,1899
presencia,julio_a_roca,1899
poderosasnaves,julio_a_roca,1899
armadas,julio_a_roca,1899
aguas,julio_a_roca,1899
chilenas,julio_a_roca,1899
argentinas,julio_a_roca,1899
dado,julio_a_roca,1899
lugar,julio_a_roca,1899
cambio,julio_a_roca,1899
manifestaciones,julio_a_roca,1899
cordiales,julio_a_roca,1899
cuvos,julio_a_roca,1899
efectos,julio_a_roca,1899
sentir,julio_a_roca,1899
relaciones,julio_a_roca,1899
amistosas,julio_a_roca,1899
llamados,julio_a_roca,1899
cultivar,julio_a_roca,1899
adelante,julio_a_roca,1899
motivo,julio_a_roca,1899
particular,julio_a_roca,1899
complacencia,julio_a_roca,1899
participación,julio_a_roca,1899
ministro,julio_a_roca,1899
americano,julio_a_roca,1899
mr,julio_a_roca,1899
buchanan,julio_a_roca,1899
solución,julio_a_roca,1899
contribuido,julio_a_roca,1899
principalmente,julio_a_roca,1899
prestando,julio_a_roca,1899
repúblicas,julio_a_roca,1899
servicio,julio_a_roca,1899
eminente,julio_a_roca,1899
primera,julio_a_roca,1899
quetoca,julio_a_roca,1899
ministro,julio_a_roca,1899
gran,julio_a_roca,1899
confederación,julio_a_roca,1899
norte,julio_a_roca,1899
cuestiones,julio_a_roca,1899
límites,julio_a_roca,1899
intervención,julio_a_roca,1899
decisiva,julio_a_roca,1899
favor,julio_a_roca,1899
paz,julio_a_roca,1899
internacional,julio_a_roca,1899
deben,julio_a_roca,1899
olvidarlo,julio_a_roca,1899
pueblos,julio_a_roca,1899
cuyos,julio_a_roca,1899
destinos,julio_a_roca,1899
juego,julio_a_roca,1899
lado,julio_a_roca,1899
altas,julio_a_roca,1899
cordilleras,julio_a_roca,1899
virtud,julio_a_roca,1899
demarcación,julio_a_roca,1899
queda,julio_a_roca,1899
bajo,julio_a_roca,1899
bandera,julio_a_roca,1899
gran,julio_a_roca,1899
parte,julio_a_roca,1899
territorio,julio_a_roca,1899
reconocido,julio_a_roca,1899
bolivia,julio_a_roca,1899
nación,julio_a_roca,1899
vasta,julio_a_roca,1899
zona,julio_a_roca,1899
existen,julio_a_roca,1899
huellas,julio_a_roca,1899
civilización,julio_a_roca,1899
trabajo,julio_a_roca,1899
cumple,julio_a_roca,1899
congreso,julio_a_roca,1899
decidir,julio_a_roca,1899
