word,presidente,year
debido,roque_saenz_penia,1914
enfermedad,roque_saenz_penia,1914
excelent,roque_saenz_penia,1914
simo,roque_saenz_penia,1914
señor,roque_saenz_penia,1914
presidente,roque_saenz_penia,1914
lr,roque_saenz_penia,1914
nación,roque_saenz_penia,1914
qu,roque_saenz_penia,1914
impide,roque_saenz_penia,1914
hacerse,roque_saenz_penia,1914
caryo,roque_saenz_penia,1914
gobier,roque_saenz_penia,1914
cábeme,roque_saenz_penia,1914
alto,roque_saenz_penia,1914
honor,roque_saenz_penia,1914
venir,roque_saenz_penia,1914
pos,roque_saenz_penia,1914
cuenta,roque_saenz_penia,1914
asuntos,roque_saenz_penia,1914
inaugurar,roque_saenz_penia,1914
quincuagésimo,roque_saenz_penia,1914
tercer,roque_saenz_penia,1914
perío,roque_saenz_penia,1914
do,roque_saenz_penia,1914
sesiones,roque_saenz_penia,1914
crdinearias,roque_saenz_penia,1914
ajeno,roque_saenz_penia,1914
misión,roque_saenz_penia,1914
trazar,roque_saenz_penia,1914
planes,roque_saenz_penia,1914
dc,roque_saenz_penia,1914
gobierno,roque_saenz_penia,1914
actúo,roque_saenz_penia,1914
titución,roque_saenz_penia,1914
señor,roque_saenz_penia,1914
presidente,roque_saenz_penia,1914
considero,roque_saenz_penia,1914
debo,roque_saenz_penia,1914
ajustar,roque_saenz_penia,1914
conducta,roque_saenz_penia,1914
ea,roque_saenz_penia,1914
posible,roque_saenz_penia,1914
programa,roque_saenz_penia,1914
formu,roque_saenz_penia,1914
lado,roque_saenz_penia,1914
compláceme,roque_saenz_penia,1914
luego,roque_saenz_penia,1914
manifesta,roque_saenz_penia,1914
situación,roque_saenz_penia,1914
comple,roque_saenz_penia,1914
tamente,roque_saenz_penia,1914
despejada,roque_saenz_penia,1914
re,roque_saenz_penia,1914
laciona,roque_saenz_penia,1914
com,roque_saenz_penia,1914
política,roque_saenz_penia,1914
interior,roque_saenz_penia,1914
exterior,roque_saenz_penia,1914
fortuna,roque_saenz_penia,1914
sombra,roque_saenz_penia,1914
intranquilidad,roque_saenz_penia,1914
desconcierto,roque_saenz_penia,1914
obscurece,roque_saenz_penia,1914
punto,roque_saenz_penia,1914
dila,roque_saenz_penia,1914
tado,roque_saenz_penia,1914
territorio,roque_saenz_penia,1914
gravitación,roque_saenz_penia,1914
ejerce,roque_saenz_penia,1914
conducta,roque_saenz_penia,1914
circunspecta,roque_saenz_penia,1914
poder,roque_saenz_penia,1914
nacional,roque_saenz_penia,1914
marcha,roque_saenz_penia,1914
política,roque_saenz_penia,1914
administrativa,roque_saenz_penia,1914
provincias,roque_saenz_penia,1914
deja,roque_saenz_penia,1914
sentir,roque_saenz_penia,1914
manera,roque_saenz_penia,1914
satisfactoria,roque_saenz_penia,1914
forma,roque_saenz_penia,1914
moderada,roque_saenz_penia,1914
respectivamente,roque_saenz_penia,1914
respondien,roque_saenz_penia,1914
do,roque_saenz_penia,1914
influencia,roque_saenz_penia,1914
demuestra,roque_saenz_penia,1914
instituciones,roque_saenz_penia,1914
asumen,roque_saenz_penia,1914
imperio,roque_saenz_penia,1914
costumbres,roque_saenz_penia,1914
ne,roque_saenz_penia,1914
predominan,roque_saenz_penia,1914
cn,roque_saenz_penia,1914
éstas,roque_saenz_penia,1914
cultura,roque_saenz_penia,1914
razón,roque_saenz_penia,1914
públicas,roque_saenz_penia,1914
podido,roque_saenz_penia,1914
entero,roque_saenz_penia,1914
contemplar,roque_saenz_penia,1914
entusiasmo,roque_saenz_penia,1914
orden,roque_saenz_penia,1914
solicitud,roque_saenz_penia,1914
pa,roque_saenz_penia,1914
triotismo,roque_saenz_penia,1914
concurrido,roque_saenz_penia,1914
ciu,roque_saenz_penia,1914
dadanos,roque_saenz_penia,1914
cumplir,roque_saenz_penia,1914
deberes,roque_saenz_penia,1914
cívicos,roque_saenz_penia,1914
bajo,roque_saenz_penia,1914
régimen,roque_saenz_penia,1914
ley,roque_saenz_penia,1914
electoral,roque_saenz_penia,1914
có,roque_saenz_penia,1914
mo,roque_saenz_penia,1914
salido,roque_saenz_penia,1914
triunfante,roque_saenz_penia,1914
principio,roque_saenz_penia,1914
mocrático,roque_saenz_penia,1914
impone,roque_saenz_penia,1914
velar,roque_saenz_penia,1914
iutereses,roque_saenz_penia,1914
comunidad,roque_saenz_penia,1914
manifestación,roque_saenz_penia,1914
ci,roque_saenz_penia,1914
vismo,roque_saenz_penia,1914
acabo,roque_saenz_penia,1914
referirme,roque_saenz_penia,1914
mo,roque_saenz_penia,1914
tivado,roque_saenz_penia,1914
legítim,roque_saenz_penia,1914
satisíacción,roque_saenz_penia,1914
concepto,roque_saenz_penia,1914
público,roque_saenz_penia,1914
propia,roque_saenz_penia,1914
magnitud,roque_saenz_penia,1914
ia,roque_saenz_penia,1914
posible,roque_saenz_penia,1914
trascendencia,roque_saenz_penia,1914
efectos,roque_saenz_penia,1914
sconseja,roque_saenz_penia,1914
volver,roque_saenz_penia,1914
ojos,roque_saenz_penia,1914
acto,roque_saenz_penia,1914
electoral,roque_saenz_penia,1914
establecer,roque_saenz_penia,1914
actuado,roque_saenz_penia,1914
elementos,roque_saenz_penia,1914
opi,roque_saenz_penia,1914
nión,roque_saenz_penia,1914
divididas,roque_saenz_penia,1914
agrupa,roque_saenz_penia,1914
ciones,roque_saenz_penia,1914
políticas,roque_saenz_penia,1914
sta,roque_saenz_penia,1914
observa,roque_saenz_penia,1914
ción,roque_saenz_penia,1914
pertinente,roque_saenz_penia,1914
tiens,roque_saenz_penia,1914
sn,roque_saenz_penia,1914
vista,roque_saenz_penia,1914
condiciones,roque_saenz_penia,1914
ley,roque_saenz_penia,1914
lectoral,roque_saenz_penia,1914
pasado,roque_saenz_penia,1914
segunda,roque_saenz_penia,1914
prueba,roque_saenz_penia,1914
mecánicamente,roque_saenz_penia,1914
prue,roque_saenz_penia,1914
j2,roque_saenz_penia,1914
éxito,roque_saenz_penia,1914
eficiencia,roque_saenz_penia,1914
trata,roque_saenz_penia,1914
múltiples,roque_saenz_penia,1914
resortes,roque_saenz_penia,1914
ey,roque_saenz_penia,1914
actúan,roque_saenz_penia,1914
igual,roque_saenz_penia,1914
eficacia,roque_saenz_penia,1914
responden,roque_saenz_penia,1914
primordiales,roque_saenz_penia,1914
propósitos,roque_saenz_penia,1914
ieron,roque_saenz_penia,1914
dictarla,roque_saenz_penia,1914
indiferencia,roque_saenz_penia,1914
desaliento,roque_saenz_penia,1914
públicos,roque_saenz_penia,1914
abían,roque_saenz_penia,1914
descendido,roque_saenz_penia,1914
nivel,roque_saenz_penia,1914
alarmante,roque_saenz_penia,1914
ajo,roque_saenz_penia,1914
preocupación,roque_saenz_penia,1914
actos,roque_saenz_penia,1914
lectorales,roque_saenz_penia,1914
rodeados,roque_saenz_penia,1914
or,roque_saenz_penia,1914
libertad,roque_saenz_penia,1914
honestidad,roque_saenz_penia,1914
ciudada,roque_saenz_penia,1914
desentendíanse,roque_saenz_penia,1914
deberes,roque_saenz_penia,1914
resultado,roque_saenz_penia,1914
elecciones,roque_saenz_penia,1914
quedaba,roque_saenz_penia,1914
li,roque_saenz_penia,1914
brado,roque_saenz_penia,1914
completo,roque_saenz_penia,1914
acción,roque_saenz_penia,1914
uni,roque_saenz_penia,1914
lateral,roque_saenz_penia,1914
prevalencia,roque_saenz_penia,1914
consiguiente,roque_saenz_penia,1914
agrupaciones,roque_saenz_penia,1914
cercanas,roque_saenz_penia,1914
poder,roque_saenz_penia,1914
fa,roque_saenz_penia,1914
liando,roque_saenz_penia,1914
base,roque_saenz_penia,1914
forma,roque_saenz_penia,1914
repre,roque_saenz_penia,1914
sentativa,roque_saenz_penia,1914
republicana,roque_saenz_penia,1914
gobierno,roque_saenz_penia,1914
agrégase,roque_saenz_penia,1914
ad,roque_saenz_penia,1914
versarios,roque_saenz_penia,1914
situación,roque_saenz_penia,1914
trataban,roque_saenz_penia,1914
lrarrestar,roque_saenz_penia,1914
barreras,roque_saenz_penia,1914
oponían,roque_saenz_penia,1914
acceso,roque_saenz_penia,1914
urnas,roque_saenz_penia,1914
congslomerando,roque_saenz_penia,1914
gran,roque_saenz_penia,1914
poderosas,roque_saenz_penia,1914
multitudes,roque_saenz_penia,1914
lucha,roque_saenz_penia,1914
crecieron,roque_saenz_penia,1914
gradualmente,roque_saenz_penia,1914
vicios,roque_saenz_penia,1914
co,roque_saenz_penia,1914
trupción,roque_saenz_penia,1914
venalidad,roque_saenz_penia,1914
fraudes,roque_saenz_penia,1914
menos,roque_saenz_penia,1914
condenables,roque_saenz_penia,1914
freno,roque_saenz_penia,1914
ramiento,roque_saenz_penia,1914
ponfan,roque_saenz_penia,1914
pública,roque_saenz_penia,1914
extibición,roque_saenz_penia,1914
contiendas,roque_saenz_penia,1914
electorales,roque_saenz_penia,1914
necesario,roque_saenz_penia,1914
robustecer,roque_saenz_penia,1914
poder,roque_saenz_penia,1914
acción,roque_saenz_penia,1914
pública,roque_saenz_penia,1914
penar,roque_saenz_penia,1914
supri,roque_saenz_penia,1914
mir,roque_saenz_penia,1914
corrupción,roque_saenz_penia,1914
levantar,roque_saenz_penia,1914
predomi,roque_saenz_penia,1914
nilo,roque_saenz_penia,1914
buenas,roque_saenz_penia,1914
costumbres,roque_saenz_penia,1914
resta,roque_saenz_penia,1914
blecer,roque_saenz_penia,1914
libertad,roque_saenz_penia,1914
sufragio,roque_saenz_penia,1914
base,roque_saenz_penia,1914
fun,roque_saenz_penia,1914
damento,roque_saenz_penia,1914
instituciones,roque_saenz_penia,1914
propósitos,roque_saenz_penia,1914
ley,roque_saenz_penia,1914
asegurar,roque_saenz_penia,1914
liubiera,roque_saenz_penia,1914
lícito,roque_saenz_penia,1914
vista,roque_saenz_penia,1914
di,roque_saenz_penia,1914
solución,roque_saenz_penia,1914
partidos,roque_saenz_penia,1914
origen,roque_saenz_penia,1914
tradi,roque_saenz_penia,1914
cional,roque_saenz_penia,1914
menos,roque_saenz_penia,1914
conceder,roque_saenz_penia,1914
preeminen,roque_saenz_penia,1914
cia,roque_saenz_penia,1914
favor,roque_saenz_penia,1914
hecho,roque_saenz_penia,1914
empero,roque_saenz_penia,1914
preocupa,roque_saenz_penia,1914
atención,roque_saenz_penia,1914
general,roque_saenz_penia,1914
especie,roque_saenz_penia,1914
eclipse,roque_saenz_penia,1914
operado,roque_saenz_penia,1914
gran,roque_saenz_penia,1914
des,roque_saenz_penia,1914
agrupaciones,roque_saenz_penia,1914
políticas,roque_saenz_penia,1914
después,roque_saenz_penia,1914
extinguido,roque_saenz_penia,1914
gobierno,roque_saenz_penia,1914
confede,roque_saenz_penia,1914
ración,roque_saenz_penia,1914
simultáneamente,roque_saenz_penia,1914
re,roque_saenz_penia,1914
organización,roque_saenz_penia,1914
surgieron,roque_saenz_penia,1914
traídas,roque_saenz_penia,1914
intereses,roque_saenz_penia,1914
vitales,roque_saenz_penia,1914
dispu,roque_saenz_penia,1914
tarse,roque_saenz_penia,1914
predominio,roque_saenz_penia,1914
ideas,roque_saenz_penia,1914
extremas,roque_saenz_penia,1914
orden,roque_saenz_penia,1914
social,roque_saenz_penia,1914
económico,roque_saenz_penia,1914
cola,roque_saenz_penia,1914
borar,roque_saenz_penia,1914
distintos,roque_saenz_penia,1914
criterios,roque_saenz_penia,1914
legales,roque_saenz_penia,1914
ardua,roque_saenz_penia,1914
tarea,roque_saenz_penia,1914
interpretar,roque_saenz_penia,1914
yaplicar,roque_saenz_penia,1914
preceptos,roque_saenz_penia,1914
constitución,roque_saenz_penia,1914
refor,roque_saenz_penia,1914
mada,roque_saenz_penia,1914
vida,roque_saenz_penia,1914
constitución,roque_saenz_penia,1914
propio,roque_saenz_penia,1914
origen,roque_saenz_penia,1914
empalmaron,roque_saenz_penia,1914
tenden,roque_saenz_penia,1914
cias,roque_saenz_penia,1914
partidos,roque_saenz_penia,1914
co,roque_saenz_penia,1914
mienzos,roque_saenz_penia,1914
existencia,roque_saenz_penia,1914
indepen,roque_saenz_penia,1914
aiente,roque_saenz_penia,1914
pugnaban,roque_saenz_penia,1914
establecer,roque_saenz_penia,1914
forma,roque_saenz_penia,1914
ie,roque_saenz_penia,1914
gobierno,roque_saenz_penia,1914
his,roque_saenz_penia,1914
lórica,roque_saenz_penia,1914
declaración,roque_saenz_penia,1914
independencia,roque_saenz_penia,1914
pronunciada,roque_saenz_penia,1914
iado,roque_saenz_penia,1914
sentir,roque_saenz_penia,1914
disparidad,roque_saenz_penia,1914
opiniones,roque_saenz_penia,1914
so,roque_saenz_penia,1914
bre,roque_saenz_penia,1914
extensión,roque_saenz_penia,1914
carácter,roque_saenz_penia,1914
régimen,roque_saenz_penia,1914
adoptado,roque_saenz_penia,1914
idea,roque_saenz_penia,1914
concentración,roque_saenz_penia,1914
predominio,roque_saenz_penia,1914
poder,roque_saenz_penia,1914
nacional,roque_saenz_penia,1914
prevalecía,roque_saenz_penia,1914
tas,roque_saenz_penia,1914
esferas,roque_saenz_penia,1914
sociales,roque_saenz_penia,1914
ciudad,roque_saenz_penia,1914
cependencias,roque_saenz_penia,1914
entretanto,roque_saenz_penia,1914
teoría,roque_saenz_penia,1914
ro,roque_saenz_penia,1914
diametralmente,roque_saenz_penia,1914
opuesta,roque_saenz_penia,1914
menos,roque_saenz_penia,1914
tem,roque_saenz_penia,1914
perada,roque_saenz_penia,1914
reconocimiento,roque_saenz_penia,1914
res,roque_saenz_penia,1914
peto,roque_saenz_penia,1914
autonomías,roque_saenz_penia,1914
locales,roque_saenz_penia,1914
sos,roque_saenz_penia,1914
generalidad,roque_saenz_penia,1914
provincias,roque_saenz_penia,1914
contienda,roque_saenz_penia,1914
civil,roque_saenz_penia,1914
duró,roque_saenz_penia,1914
tos,roque_saenz_penia,1914
costó,roque_saenz_penia,1914
sacrilicios,roque_saenz_penia,1914
prevaleció,roque_saenz_penia,1914
definitivamente,roque_saenz_penia,1914
constitución,roque_saenz_penia,1914
reformada,roque_saenz_penia,1914
sistema,roque_saenz_penia,1914
domina,roque_saenz_penia,1914
tarde,roque_saenz_penia,1914
reaparecieron,roque_saenz_penia,1914
partidos,roque_saenz_penia,1914
revestidos,roque_saenz_penia,1914
distintas,roque_saenz_penia,1914
denominaciones,roque_saenz_penia,1914
sustentaban,roque_saenz_penia,1914
ideas,roque_saenz_penia,1914
tradicionales,roque_saenz_penia,1914
conversían,roque_saenz_penia,1914
áá,roque_saenz_penia,1914
idénticos,roque_saenz_penia,1914
propósitos,roque_saenz_penia,1914
actuaron,roque_saenz_penia,1914
enereía,roque_saenz_penia,1914
entusiasmo,roque_saenz_penia,1914
encarnizadas,roque_saenz_penia,1914
luchas,roque_saenz_penia,1914
desenvolvieron,roque_saenz_penia,1914
motivo,roque_saenz_penia,1914
medidas,roque_saenz_penia,1914
reorganización,roque_saenz_penia,1914
política,roque_saenz_penia,1914
arraigo,roque_saenz_penia,1914
forma,roque_saenz_penia,1914
gobierno,roque_saenz_penia,1914
federal,roque_saenz_penia,1914
continuaron,roque_saenz_penia,1914
militando,roque_saenz_penia,1914
eli,roque_saenz_penia,1914
minación,roque_saenz_penia,1914
menos,roque_saenz_penia,1914
completa,roque_saenz_penia,1914
escena,roque_saenz_penia,1914
seguramente,roque_saenz_penia,1914
falta,roque_saenz_penia,1914
ambiente,roque_saenz_penia,1914
haber,roque_saenz_penia,1914
llenado,roque_saenz_penia,1914
fines,roque_saenz_penia,1914
éstos,roque_saenz_penia,1914
subsisten,roque_saenz_penia,1914
vivos,roque_saenz_penia,1914
perennes,roque_saenz_penia,1914
constitución,roque_saenz_penia,1914
semejante,roque_saenz_penia,1914
eliminación,roque_saenz_penia,1914
hecho,roque_saenz_penia,1914
motive,roque_saenz_penia,1914
extremo,roque_saenz_penia,1914
alarmante,roque_saenz_penia,1914
crea,roque_saenz_penia,1914
verdadero,roque_saenz_penia,1914
peligro,roque_saenz_penia,1914
equi,roque_saenz_penia,1914
librio,roque_saenz_penia,1914
régimen,roque_saenz_penia,1914
gobierno,roque_saenz_penia,1914
mantenimiento,roque_saenz_penia,1914
ins,roque_saenz_penia,1914
tituciones,roque_saenz_penia,1914
comprende,roque_saenz_penia,1914
afirmación,roque_saenz_penia,1914
aminora,roque_saenz_penia,1914
sentido,roque_saenz_penia,1914
impor,roque_saenz_penia,1914
tancia,roque_saenz_penia,1914
sanos,roque_saenz_penia,1914
propósitos,roque_saenz_penia,1914
partidos,roque_saenz_penia,1914
actúan,roque_saenz_penia,1914
vida,roque_saenz_penia,1914
pública,roque_saenz_penia,1914
gestionan,roque_saenz_penia,1914
actividad,roque_saenz_penia,1914
pro,roque_saenz_penia,1914
gramas,roque_saenz_penia,1914
aspiraciones,roque_saenz_penia,1914
vigilan,roque_saenz_penia,1914
desempeño,roque_saenz_penia,1914
autoridades,roque_saenz_penia,1914
defienden,roque_saenz_penia,1914
franquicias,roque_saenz_penia,1914
comercio,roque_saenz_penia,1914
in,roque_saenz_penia,1914
custrias,roque_saenz_penia,1914
preocupan,roque_saenz_penia,1914
moral,roque_saenz_penia,1914
pf,roque_saenz_penia,1914
blica,roque_saenz_penia,1914
regularidad,roque_saenz_penia,1914
pureza,roque_saenz_penia,1914
adnmi,roque_saenz_penia,1914
nistrativa,roque_saenz_penia,1914
mejoramiento,roque_saenz_penia,1914
clases,roque_saenz_penia,1914
menos,roque_saenz_penia,1914
acomodadas,roque_saenz_penia,1914
luchan,roque_saenz_penia,1914
tenacidad,roque_saenz_penia,1914
establecimiento,roque_saenz_penia,1914
sistemas,roque_saenz_penia,1914
económicos,roque_saenz_penia,1914
tiempo,roque_saenz_penia,1914
inspirarse,roque_saenz_penia,1914
altos,roque_saenz_penia,1914
intereses,roque_saenz_penia,1914
comunidad,roque_saenz_penia,1914
gran,roque_saenz_penia,1914
beneficio,roque_saenz_penia,1914
alivio,roque_saenz_penia,1914
industriales,roque_saenz_penia,1914
trabajadoros,roque_saenz_penia,1914
partidos,roque_saenz_penia,1914
enen,roque_saenz_penia,1914
relación,roque_saenz_penia,1914
estre,roque_saenz_penia,1914
cha,roque_saenz_penia,1914
directa,roque_saenz_penia,1914
constitución,roque_saenz_penia,1914
instrumento,roque_saenz_penia,1914
fobierno,roque_saenz_penia,1914
consagra,roque_saenz_penia,1914
ampara,roque_saenz_penia,1914
as,roque_saenz_penia,1914
piraciones,roque_saenz_penia,1914
libertades,roque_saenz_penia,1914
necesarias,roque_saenz_penia,1914
realizarlas,roque_saenz_penia,1914
asimismo,roque_saenz_penia,1914
colocados,roque_saenz_penia,1914
líneas,roque_saenz_penia,1914
laterales,roque_saenz_penia,1914
relación,roque_saenz_penia,1914
áa,roque_saenz_penia,1914
partidos,roque_saenz_penia,1914
oocupo,roque_saenz_penia,1914
luz,roque_saenz_penia,1914
manera,roque_saenz_penia,1914
tituídos,roque_saenz_penia,1914
aducirse,roque_saenz_penia,1914
argumentación,roque_saenz_penia,1914
co,roque_saenz_penia,1914
mo,roque_saenz_penia,1914
hecho,roque_saenz_penia,1914
partidos,roque_saenz_penia,1914
terminado,roque_saenz_penia,1914
evolu,roque_saenz_penia,1914
ción,roque_saenz_penia,1914
tendencias,roque_saenz_penia,1914
caducaron,roque_saenz_penia,1914
cayeron,roque_saenz_penia,1914
finalmente,roque_saenz_penia,1914
desprestigio,roque_saenz_penia,1914
abusos,roque_saenz_penia,1914
gún,roque_saenz_penia,1914
punto,roque_saenz_penia,1914
vista,roque_saenz_penia,1914
consideren,roque_saenz_penia,1914
cosas,roque_saenz_penia,1914
pertinente,roque_saenz_penia,1914
observar,roque_saenz_penia,1914
hechos,roque_saenz_penia,1914
inercia,roque_saenz_penia,1914
deberes,roque_saenz_penia,1914
cívicos,roque_saenz_penia,1914
confunden,roque_saenz_penia,1914
ideas,roque_saenz_penia,1914
seguramente,roque_saenz_penia,1914
ex,roque_saenz_penia,1914
