word,presidente,year
cábeme,victorino_dela_plaza,1916
grato,victorino_dela_plaza,1916
deber,victorino_dela_plaza,1916
daros,victorino_dela_plaza,1916
cuenta,victorino_dela_plaza,1916
nación,victorino_dela_plaza,1916
refiere,victorino_dela_plaza,1916
orden,victorino_dela_plaza,1916
interno,victorino_dela_plaza,1916
relaciones,victorino_dela_plaza,1916
internacionales,victorino_dela_plaza,1916
asuntos,victorino_dela_plaza,1916
administración,victorino_dela_plaza,1916
general,victorino_dela_plaza,1916
circunstancias,victorino_dela_plaza,1916
atraviesa,victorino_dela_plaza,1916
afectado,victorino_dela_plaza,1916
pueblos,victorino_dela_plaza,1916
neutrales,victorino_dela_plaza,1916
contrastes,victorino_dela_plaza,1916
conflagración,victorino_dela_plaza,1916
colosal,victorino_dela_plaza,1916
pre,victorino_dela_plaza,1916
cedentes,victorino_dela_plaza,1916
historia,victorino_dela_plaza,1916
nacio,victorino_dela_plaza,1916
nes,victorino_dela_plaza,1916
luropa,victorino_dela_plaza,1916
dificultan,victorino_dela_plaza,1916
com,victorino_dela_plaza,1916
plican,victorino_dela_plaza,1916
cursp,victorino_dela_plaza,1916
industrias,victorino_dela_plaza,1916
comercio,victorino_dela_plaza,1916
género,victorino_dela_plaza,1916
negocios,victorino_dela_plaza,1916
dar,victorino_dela_plaza,1916
lugar,victorino_dela_plaza,1916
informa,victorino_dela_plaza,1916
ción,victorino_dela_plaza,1916
alarmante,victorino_dela_plaza,1916
pesar,victorino_dela_plaza,1916
contrariedades,victorino_dela_plaza,1916
gue,victorino_dela_plaza,1916
rra,victorino_dela_plaza,1916
produce,victorino_dela_plaza,1916
marcha,victorino_dela_plaza,1916
bajo,victorino_dela_plaza,1916
aspectos,victorino_dela_plaza,1916
perjudicadas,victorino_dela_plaza,1916
podemos,victorino_dela_plaza,1916
desconocer,victorino_dela_plaza,1916
serias,victorino_dela_plaza,1916
perturbaciones,victorino_dela_plaza,1916
ocasiona,victorino_dela_plaza,1916
realización,victorino_dela_plaza,1916
productos,victorino_dela_plaza,1916
agrícolas,victorino_dela_plaza,1916
ganaderos,victorino_dela_plaza,1916
consecuencia,victorino_dela_plaza,1916
peligros,victorino_dela_plaza,1916
comercio,victorino_dela_plaza,1916
crecida,victorino_dela_plaza,1916
za,victorino_dela_plaza,1916
fletes,victorino_dela_plaza,1916
enorme,victorino_dela_plaza,1916
dimi,victorino_dela_plaza,1916
nución,victorino_dela_plaza,1916
medios,victorino_dela_plaza,1916
transporte,victorino_dela_plaza,1916
fuere,victorino_dela_plaza,1916
segui,victorino_dela_plaza,1916
rá,victorino_dela_plaza,1916
afrontando,victorino_dela_plaza,1916
alternativas,victorino_dela_plaza,1916
excepcional,victorino_dela_plaza,1916
situación,victorino_dela_plaza,1916
ecuanimi,victorino_dela_plaza,1916
