word,presidente,year
congreso,hipolito_yrigoyen,1917
nación,hipolito_yrigoyen,1917
sala,hipolito_yrigoyen,1917
sesiones,hipolito_yrigoyen,1917
arduos,hipolito_yrigoyen,1917
complejos,hipolito_yrigoyen,1917
problemas,hipolito_yrigoyen,1917
absorbido,hipolito_yrigoyen,1917
acción,hipolito_yrigoyen,1917
tregua,hipolito_yrigoyen,1917
po,hipolito_yrigoyen,1917
der,hipolito_yrigoyen,1917
ejecutivo,hipolito_yrigoyen,1917
encaminada,hipolito_yrigoyen,1917
co,hipolito_yrigoyen,1917
rregir,hipolito_yrigoyen,1917
hondas,hipolito_yrigoyen,1917
deficiencias,hipolito_yrigoyen,1917
administrativas,hipolito_yrigoyen,1917
perturban,hipolito_yrigoyen,1917
regularidad,hipolito_yrigoyen,1917
funcional,hipolito_yrigoyen,1917
gobierno,hipolito_yrigoyen,1917
permitido,hipolito_yrigoyen,1917
reunir,hipolito_yrigoyen,1917
elementos,hipolito_yrigoyen,1917
información,hipolito_yrigoyen,1917
adminis,hipolito_yrigoyen,1917
tración,hipolito_yrigoyen,1917
pasada,hipolito_yrigoyen,1917
debe,hipolito_yrigoyen,1917
elevar,hipolito_yrigoyen,1917
consi,hipolito_yrigoyen,1917
deración,hipolito_yrigoyen,1917
honorabilidad,hipolito_yrigoyen,1917
conjun,hipolito_yrigoyen,1917
tamente,hipolito_yrigoyen,1917
refieren,hipolito_yrigoyen,1917
ges,hipolito_yrigoyen,1917
tión,hipolito_yrigoyen,1917
propia,hipolito_yrigoyen,1917
quiere,hipolito_yrigoyen,1917
embargo,hipolito_yrigoyen,1917
poder,hipolito_yrigoyen,1917
ejecu,hipolito_yrigoyen,1917
tivo,hipolito_yrigoyen,1917
retardar,hipolito_yrigoyen,1917
causa,hipolito_yrigoyen,1917
iniciación,hipolito_yrigoyen,1917
das,hipolito_yrigoyen,1917
tareas,hipolito_yrigoyen,1917
congreso,hipolito_yrigoyen,1917
pre,hipolito_yrigoyen,1917
fiere,hipolito_yrigoyen,1917
inaugurarlas,hipolito_yrigoyen,1917
inmediato,hipolito_yrigoyen,1917
periui,hipolito_yrigoyen,1917
cio,hipolito_yrigoyen,1917
enviar,hipolito_yrigoyen,1917
breve,hipolito_yrigoyen,1917
mensaje,hipolito_yrigoyen,1917
comple,hipolito_yrigoyen,1917
to,hipolito_yrigoyen,1917
expresión,hipolito_yrigoyen,1917
juicios,hipolito_yrigoyen,1917
propú0,hipolito_yrigoyen,1917
sitos,hipolito_yrigoyen,1917
entretanto,hipolito_yrigoyen,1917
anticipo,hipolito_yrigoyen,1917
honora,hipolito_yrigoyen,1917
bilidad,hipolito_yrigoyen,1917
graves,hipolito_yrigoyen,1917
dificultades,hipolito_yrigoyen,1917
orden,hipolito_yrigoyen,1917
dominio,hipolito_yrigoyen,1917
público,hipolito_yrigoyen,1917
do,hipolito_yrigoyen,1917
salvadas,hipolito_yrigoyen,1917
momento,hipolito_yrigoyen,1917
forma,hipolito_yrigoyen,1917
alta,hipolito_yrigoyen,1917
mente,hipolito_yrigoyen,1917
satisfactoria,hipolito_yrigoyen,1917
nación,hipolito_yrigoyen,1917
ésta,hipolito_yrigoyen,1917
tranquila,hipolito_yrigoyen,1917
segura,hipolito_yrigoyen,1917
dedica,hipolito_yrigoyen,1917
energías,hipolito_yrigoyen,1917
labor,hipolito_yrigoyen,1917
llena,hipolito_yrigoyen,1917
esperanzas,hipolito_yrigoyen,1917
contribuyen,hipolito_yrigoyen,1917
do,hipolito_yrigoyen,1917
poder,hipolito_yrigoyen,1917
ejecutivo,hipolito_yrigoyen,1917
medida,hipolito_yrigoyen,1917
recursos,hipolito_yrigoyen,1917
propios,hipolito_yrigoyen,1917
faltaron,hipolito_yrigoyen,1917
instituciones,hipolito_yrigoyen,1917
leyes,hipolito_yrigoyen,1917
necesarias,hipolito_yrigoyen,1917
pa,hipolito_yrigoyen,1917
ta,hipolito_yrigoyen,1917
llenar,hipolito_yrigoyen,1917
eficientemente,hipolito_yrigoyen,1917
altos,hipolito_yrigoyen,1917
fi,hipolito_yrigoyen,1917
nes,hipolito_yrigoyen,1917
facultad,hipolito_yrigoyen,1917
confiere,hipolito_yrigoyen,1917
poder,hipolito_yrigoyen,1917
ejecutivo,hipolito_yrigoyen,1917
artículo,hipolito_yrigoyen,1917
inciso,hipolito_yrigoyen,1917
constitución,hipolito_yrigoyen,1917
nacional,hipolito_yrigoyen,1917
declaro,hipolito_yrigoyen,1917
inauguradas,hipolito_yrigoyen,1917
sesiones,hipolito_yrigoyen,1917
congreso,hipolito_yrigoyen,1917
deseando,hipolito_yrigoyen,1917
justicia,hipolito_yrigoyen,1917
pa,hipolito_yrigoyen,1917
triotismo,hipolito_yrigoyen,1917
inspiren,hipolito_yrigoyen,1917
deliberaciones,hipolito_yrigoyen,1917
dios,hipolito_yrigoyen,1917
guarde,hipolito_yrigoyen,1917
honorabilidad,hipolito_yrigoyen,1917
