word,presidente,year
llego,agustin_p_justo,1934
eumplimiento,agustin_p_justo,1934
preseripción,agustin_p_justo,1934
constitucional,agustin_p_justo,1934
respeetiva,agustin_p_justo,1934
declarar,agustin_p_justo,1934
abierto,agustin_p_justo,1934
nuevo,agustin_p_justo,1934
período,agustin_p_justo,1934
sesiones,agustin_p_justo,1934
ciel,agustin_p_justo,1934
congreso,agustin_p_justo,1934
asimismo,agustin_p_justo,1934
daros,agustin_p_justo,1934
cuenta,agustin_p_justo,1934
labor,agustin_p_justo,1934
realizada,agustin_p_justo,1934
receso,agustin_p_justo,1934
parlamentario,agustin_p_justo,1934
situación,agustin_p_justo,1934
general,agustin_p_justo,1934
ltepública,agustin_p_justo,1934
propósitos,agustin_p_justo,1934
animan,agustin_p_justo,1934
poder,agustin_p_justo,1934
ejecutivo,agustin_p_justo,1934
acción,agustin_p_justo,1934
desarrollar,agustin_p_justo,1934
futuro,agustin_p_justo,1934
pocas,agustin_p_justo,1934
vcues,agustin_p_justo,1934
historia,agustin_p_justo,1934
presentado,agustin_p_justo,1934
situaciones,agustin_p_justo,1934
difíciles,agustin_p_justo,1934
vivido,agustin_p_justo,1934
últimos,agustin_p_justo,1934
tiempos,agustin_p_justo,1934
agobiado,agustin_p_justo,1934
profunda,agustin_p_justo,1934
erisis,agustin_p_justo,1934
económica,agustin_p_justo,1934
reflejo,agustin_p_justo,1934
azota,agustin_p_justo,1934
mundo,agustin_p_justo,1934
cuyas,agustin_p_justo,1934
consecuencias,agustin_p_justo,1934
repercutido,agustin_p_justo,1934
órdenes,agustin_p_justo,1934
desvalorizados,agustin_p_justo,1934
considerablemente,agustin_p_justo,1934
productos,agustin_p_justo,1934
eonstituyen,agustin_p_justo,1934
ja,agustin_p_justo,1934
base,agustin_p_justo,1934
riqueza,agustin_p_justo,1934
malestar,agustin_p_justo,1934
económico,agustin_p_justo,1934
conmovido,agustin_p_justo,1934
intensamente,agustin_p_justo,1934
fuentes,agustin_p_justo,1934
producción,agustin_p_justo,1934
vida,agustin_p_justo,1934
general,agustin_p_justo,1934
embargo,agustin_p_justo,1934
nación,agustin_p_justo,1934
afrontado,agustin_p_justo,1934
cnergía,agustin_p_justo,1934
angustias,agustin_p_justo,1934
afanes,agustin_p_justo,1934
tocado,agustin_p_justo,1934
suerte,agustin_p_justo,1934
