word,presidente,year
sr,arturo_frondizi,1960
presidente,arturo_frondizi,1960
nacion,arturo_frondizi,1960
senores,arturo_frondizi,1960
conformidad,arturo_frondizi,1960
preceptos,arturo_frondizi,1960
constitucionales,arturo_frondizi,1960
venimos,arturo_frondizi,1960
mediante,arturo_frondizi,1960
presente,arturo_frondizi,1960
mensaje,arturo_frondizi,1960
dar,arturo_frondizi,1960
cuenta,arturo_frondizi,1960
honorabilidad,arturo_frondizi,1960
nación,arturo_frondizi,1960
informarle,arturo_frondizi,1960
labor,arturo_frondizi,1960
cumplida,arturo_frondizi,1960
medidas,arturo_frondizi,1960
juzgamos,arturo_frondizi,1960
necesarias,arturo_frondizi,1960
convenientes,arturo_frondizi,1960
alcanzar,arturo_frondizi,1960
objetivos,arturo_frondizi,1960
señalamos,arturo_frondizi,1960
asumir,arturo_frondizi,1960
gobierno,arturo_frondizi,1960
objetivos,arturo_frondizi,1960
fijados,arturo_frondizi,1960
mayo,arturo_frondizi,1960
mantienen,arturo_frondizi,1960
integramente,arturo_frondizi,1960
validez,arturo_frondizi,1960
inspiran,arturo_frondizi,1960
actividad,arturo_frondizi,1960
gobierno,arturo_frondizi,1960
logrados,arturo_frondizi,1960
vias,arturo_frondizi,1960
serlo,arturo_frondizi,1960
consecución,arturo_frondizi,1960
retrasados,arturo_frondizi,1960
modificado,arturo_frondizi,1960
absoluto,arturo_frondizi,1960
firme,arturo_frondizi,1960
decisión,arturo_frondizi,1960
ejecutarlos,arturo_frondizi,1960
superando,arturo_frondizi,1960
dificultades,arturo_frondizi,1960
venciendo,arturo_frondizi,1960
adversidades,arturo_frondizi,1960
franqueza,arturo_frondizi,1960
debemos,arturo_frondizi,1960
pueblo,arturo_frondizi,1960
diremos,arturo_frondizi,1960
medida,arturo_frondizi,1960
cumplido,arturo_frondizi,1960
mandato,arturo_frondizi,1960
recibimos,arturo_frondizi,1960
cuánto,arturo_frondizi,1960
resta,arturo_frondizi,1960
completar,arturo_frondizi,1960
obra,arturo_frondizi,1960
nación,arturo_frondizi,1960
entera,arturo_frondizi,1960
emprendido,arturo_frondizi,1960
subsistencia,arturo_frondizi,1960
grandes,arturo_frondizi,1960
objetivos,arturo_frondizi,1960
legalidad,arturo_frondizi,1960
desarrollo,arturo_frondizi,1960
repetimos,arturo_frondizi,1960
asamblea,arturo_frondizi,1960
objetivos,arturo_frondizi,1960
proponíamos,arturo_frondizi,1960
lograr,arturo_frondizi,1960
hechos,arturo_frondizi,1960
confirmado,arturo_frondizi,1960
plenamente,arturo_frondizi,1960
validez,arturo_frondizi,1960
menester,arturo_frondizi,1960
tenerlos,arturo_frondizi,1960
cuenta,arturo_frondizi,1960
análisis,arturo_frondizi,1960
exacto,arturo_frondizi,1960
últimos,arturo_frondizi,1960
meses,arturo_frondizi,1960
dijimos,arturo_frondizi,1960
asegurar,arturo_frondizi,1960
plena,arturo_frondizi,1960
vigencia,arturo_frondizi,1960
regimen,arturo_frondizi,1960
constitucional,arturo_frondizi,1960
segundo,arturo_frondizi,1960
objetivo,arturo_frondizi,1960
fundamental,arturo_frondizi,1960
salir,arturo_frondizi,1960
estancamiento,arturo_frondizi,1960
retroceso,arturo_frondizi,1960
económico,arturo_frondizi,1960
objetivos,arturo_frondizi,1960
afirmamos,arturo_frondizi,1960
pacificación,arturo_frondizi,1960
democrática,arturo_frondizi,1960
desarrollo,arturo_frondizi,1960
nacional,arturo_frondizi,1960
indisolublemente,arturo_frondizi,1960
unidos,arturo_frondizi,1960
paz,arturo_frondizi,1960
libertad,arturo_frondizi,1960
progreso,arturo_frondizi,1960
económico,arturo_frondizi,1960
efímeras,arturo_frondizi,1960
progreso,arturo_frondizi,1960
material,arturo_frondizi,1960
funda,arturo_frondizi,1960
moral,arturo_frondizi,1960
libertad,arturo_frondizi,1960
objetivos,arturo_frondizi,1960
siguen,arturo_frondizi,1960
pie,arturo_frondizi,1960
constituyen,arturo_frondizi,1960
supuesto,arturo_frondizi,1960
programa,arturo_frondizi,1960
pertenezca,arturo_frondizi,1960
partido,arturo_frondizi,1960
fracción,arturo_frondizi,1960
integran,arturo_frondizi,1960
lugar,arturo_frondizi,1960
dudas,arturo_frondizi,1960
vasto,arturo_frondizi,1960
programa,arturo_frondizi,1960
nacional,arturo_frondizi,1960
nadie,arturo_frondizi,1960
excluirse,arturo_frondizi,1960
posible,arturo_frondizi,1960
discrepar,arturo_frondizi,1960
acerca,arturo_frondizi,1960
métodos,arturo_frondizi,1960
alcanzarlos,arturo_frondizi,1960
nadie,arturo_frondizi,1960
contradecirlos,arturo_frondizi,1960
negar,arturo_frondizi,1960
tiempo,arturo_frondizi,1960
razón,arturo_frondizi,1960
nación,arturo_frondizi,1960
proyección,arturo_frondizi,1960
natural,arturo_frondizi,1960
destino,arturo_frondizi,1960
gran,arturo_frondizi,1960
