word,presidente,year
sr,arturo_illia,1964
presidente,arturo_illia,1964
nación,arturo_illia,1964
pie,arturo_illia,1964
cumplo,arturo_illia,1964
precepto,arturo_illia,1964
constitucional,arturo_illia,1964
declarar,arturo_illia,1964
inauguradas,arturo_illia,1964
deliberaciones,arturo_illia,1964
honorabilidad,arturo_illia,1964
transcurrido,arturo_illia,1964
meses,arturo_illia,1964
asumi,arturo_illia,1964
presidencia,arturo_illia,1964
nación,arturo_illia,1964
embargo,arturo_illia,1964
breve,arturo_illia,1964
lapso,arturo_illia,1964
debo,arturo_illia,1964
reconocer,arturo_illia,1964
augusto,arturo_illia,1964
recinto,arturo_illia,1964
ley,arturo_illia,1964
logrado,arturo_illia,1964
objetivos,arturo_illia,1964
pacificación,arturo_illia,1964
unidad,arturo_illia,1964
nacional,arturo_illia,1964
enunciados,arturo_illia,1964
mensaje,arturo_illia,1964
octubre,arturo_illia,1964
diálogo,arturo_illia,1964
vivo,arturo_illia,1964
cordial,arturo_illia,1964
fecundo,arturo_illia,1964
caracteristica,arturo_illia,1964
deliberaciones,arturo_illia,1964
demostrando,arturo_illia,1964
propios,arturo_illia,1964
extraños,arturo_illia,1964
alto,arturo_illia,1964
sentido,arturo_illia,1964
responsabilidad,arturo_illia,1964
exhiben,arturo_illia,1964
representantes,arturo_illia,1964
pueblo,arturo_illia,1964
argentino,arturo_illia,1964
posible,arturo_illia,1964
manera,arturo_illia,1964
congreso,arturo_illia,1964
nación,arturo_illia,1964
vehiculo,arturo_illia,1964
natural,arturo_illia,1964
inquietudes,arturo_illia,1964
pueblo,arturo_illia,1964
ruego,arturo_illia,1964
dios,arturo_illia,1964
avierto,arturo_illia,1964
futuras,arturo_illia,1964
deliberaciones,arturo_illia,1964
patriotismo,arturo_illia,1964
ponéis,arturo_illia,1964
delicadas,arturo_illia,1964
funciones,arturo_illia,1964
acreciente,arturo_illia,1964
prestigio,arturo_illia,1964
incuestionahle,arturo_illia,1964
permita,arturo_illia,1964
dictar,arturo_illia,1964
instrumentos,arturo_illia,1964
legales,arturo_illia,1964
aseguren,arturo_illia,1964
libertad,arturo_illia,1964
paz,arturo_illia,1964
justicia,arturo_illia,1964
ámbito,arturo_illia,1964
quedado,arturo_illia,1964
asi,arturo_illia,1964
demoustrado,arturo_illia,1964
cómo,arturo_illia,1964
funcionan,arturo_illia,1964
instituciones,arturo_illia,1964
república,arturo_illia,1964
legisladores,arturo_illia,1964
pueblo,arturo_illia,1964
historia,arturo_illia,1964
destino,arturo_illia,1964
unido,arturo_illia,1964
importante,arturo_illia,1964
creencias,arturo_illia,1964
comunes,arturo_illia,1964
igual,arturo_illia,1964
amor,arturo_illia,1964
democracia,arturo_illia,1964
idéntico,arturo_illia,1964
apego,arturo_illia,1964
justicia,arturo_illia,1964
podemos,arturo_illia,1964
grandes,arturo_illia,1964
cosas,arturo_illia,1964
quererlo,arturo_illia,1964
gobernantes,arturo_illia,1964
elegidos,arturo_illia,1964
pueblo,arturo_illia,1964
necesitamos,arturo_illia,1964
sentir,arturo_illia,1964
interpretamos,arturo_illia,1964
necesidades,arturo_illia,1964
ilusiones,arturo_illia,1964
habra,arturo_illia,1964
leyes,arturo_illia,1964
sabias,arturo_illia,1964
fueren,arturo_illia,1964
hagan,arturo_illia,1964
felicidad,arturo_illia,1964
pueblo,arturo_illia,1964
descreido,arturo_illia,1964
desmoralizado,arturo_illia,1964
gobierno,arturo_illia,1964
dispuesto,arturo_illia,1964
impulsar,arturo_illia,1964
llevar,arturo_illia,1964
cabo,arturo_illia,1964
transformaciones,arturo_illia,1964
necesarias,arturo_illia,1964
bara,arturo_illia,1964
satisfacer,arturo_illia,1964
anhelos,arturo_illia,1964
comunidad,arturo_illia,1964
recibido,arturo_illia,1964
pesada,arturo_illia,1964
carga,arturo_illia,1964
problemas,arturo_illia,1964
materiales,arturo_illia,1964
preocupa,arturo_illia,1964
carga,arturo_illia,1964
problemas,arturo_illia,1964
espirituales,arturo_illia,1964
necesitamos,arturo_illia,1964
pueblo,arturo_illia,1964
sienta,arturo_illia,1964
capaz,arturo_illia,1964
esfuerzo,arturo_illia,1964
orgullo,arturo_illia,1964
comprenda,arturo_illia,1964
gobierno,arturo_illia,1964
representación,arturo_illia,1964
intérpretes,arturo_illia,1964
indiferencia,arturo_illia,1964
sola,arturo_illia,1964
necesidades,arturo_illia,1964
restablecer,arturo_illia,1964
valores,arturo_illia,1964
