word,presidente,year
asamblea,maria_estela_martinez_de_peron,1975
vengo,maria_estela_martinez_de_peron,1975
honorabilidad,maria_estela_martinez_de_peron,1975
pueblo,maria_estela_martinez_de_peron,1975
argentino,maria_estela_martinez_de_peron,1975
referirme,maria_estela_martinez_de_peron,1975
realizado,maria_estela_martinez_de_peron,1975
período,maria_estela_martinez_de_peron,1975
gobierno,maria_estela_martinez_de_peron,1975
primer,maria_estela_martinez_de_peron,1975
término,maria_estela_martinez_de_peron,1975
deseo,maria_estela_martinez_de_peron,1975
testimoniar,maria_estela_martinez_de_peron,1975
legisladores,maria_estela_martinez_de_peron,1975
ambas,maria_estela_martinez_de_peron,1975
cámaras,maria_estela_martinez_de_peron,1975
profundo,maria_estela_martinez_de_peron,1975
reconocimiento,maria_estela_martinez_de_peron,1975
poder,maria_estela_martinez_de_peron,1975
ejecutivo,maria_estela_martinez_de_peron,1975
proficua,maria_estela_martinez_de_peron,1975
fecunda,maria_estela_martinez_de_peron,1975
labor,maria_estela_martinez_de_peron,1975
concretada,maria_estela_martinez_de_peron,1975
último,maria_estela_martinez_de_peron,1975
período,maria_estela_martinez_de_peron,1975
sesiones,maria_estela_martinez_de_peron,1975
importantes,maria_estela_martinez_de_peron,1975
leyes,maria_estela_martinez_de_peron,1975
sancionadas,maria_estela_martinez_de_peron,1975
dejado,maria_estela_martinez_de_peron,1975
sentimiento,maria_estela_martinez_de_peron,1975
patriótico,maria_estela_martinez_de_peron,1975
responsabililad,maria_estela_martinez_de_peron,1975
anima,maria_estela_martinez_de_peron,1975
facilitando,maria_estela_martinez_de_peron,1975
desenvolvimiento,maria_estela_martinez_de_peron,1975
tarea,maria_estela_martinez_de_peron,1975
reconstructiva,maria_estela_martinez_de_peron,1975
patria,maria_estela_martinez_de_peron,1975
empeñados,maria_estela_martinez_de_peron,1975
hacerles,maria_estela_martinez_de_peron,1975
llegar,maria_estela_martinez_de_peron,1975
felicitaciones,maria_estela_martinez_de_peron,1975
sinceras,maria_estela_martinez_de_peron,1975
ingresar,maria_estela_martinez_de_peron,1975
centésimo,maria_estela_martinez_de_peron,1975
período,maria_estela_martinez_de_peron,1975
legislativo,maria_estela_martinez_de_peron,1975
marca,maria_estela_martinez_de_peron,1975
proyección,maria_estela_martinez_de_peron,1975
historia,maria_estela_martinez_de_peron,1975
pensamiento,maria_estela_martinez_de_peron,1975
permanecer,maria_estela_martinez_de_peron,1975
instante,maria_estela_martinez_de_peron,1975
símbolo,maria_estela_martinez_de_peron,1975
promisor,maria_estela_martinez_de_peron,1975
unidad,maria_estela_martinez_de_peron,1975
elevada,maria_estela_martinez_de_peron,1975
centena,maria_estela_martinez_de_peron,1975
pareciera,maria_estela_martinez_de_peron,1975
