word,presidente,year
congreso,raul_alfonsin,1987
nación,raul_alfonsin,1987
tradicional,raul_alfonsin,1987
encuentro,raul_alfonsin,1987
presidente,raul_alfonsin,1987
legisladores,raul_alfonsin,1987
símbolo,raul_alfonsin,1987
unidad,raul_alfonsin,1987
independencia,raul_alfonsin,1987
poderes,raul_alfonsin,1987
rigen,raul_alfonsin,1987
democracia,raul_alfonsin,1987
produce,raul_alfonsin,1987
todavía,raul_alfonsin,1987
resuenan,raul_alfonsin,1987
tierra,raul_alfonsin,1987
palabras,raul_alfonsin,1987
papa,raul_alfonsin,1987
llamando,raul_alfonsin,1987
paz,raul_alfonsin,1987
reconciliación,raul_alfonsin,1987
mensajes,raul_alfonsin,1987
morales,raul_alfonsin,1987
exaltación,raul_alfonsin,1987
libertad,raul_alfonsin,1987
justicia,raul_alfonsin,1987
convocatoria,raul_alfonsin,1987
construcción,raul_alfonsin,1987
civilización,raul_alfonsin,1987
amor,raul_alfonsin,1987
apelación,raul_alfonsin,1987
austeridad,raul_alfonsin,1987
esfuerzo,raul_alfonsin,1987
recuerdos,raul_alfonsin,1987
perdurables,raul_alfonsin,1987
pueblo,raul_alfonsin,1987
argentino,raul_alfonsin,1987
distinción,raul_alfonsin,1987
credos,raul_alfonsin,1987
enseñanzas,raul_alfonsin,1987
sabrá,raul_alfonsin,1987
recoger,raul_alfonsin,1987
afirmar,raul_alfonsin,1987
virtudes,raul_alfonsin,1987
ciudadanas,raul_alfonsin,1987
comportamientos,raul_alfonsin,1987
particulares,raul_alfonsin,1987
perfeccionen,raul_alfonsin,1987
democracia,raul_alfonsin,1987
afiancen,raul_alfonsin,1987
convivencia,raul_alfonsin,1987
fraterna,raul_alfonsin,1987
sociedad,raul_alfonsin,1987
renovado,raul_alfonsin,1987
deuda,raul_alfonsin,1987
santo,raul_alfonsin,1987
padre,raul_alfonsin,1987
debemos,raul_alfonsin,1987
permanente,raul_alfonsin,1987
agradecimiento,raul_alfonsin,1987
solícito,raul_alfonsin,1987
generoso,raul_alfonsin,1987
servicio,raul_alfonsin,1987
mediación,raul_alfonsin,1987
afianzó,raul_alfonsin,1987
causa,raul_alfonsin,1987
paz,raul_alfonsin,1987
debemos,raul_alfonsin,1987
ahora,raul_alfonsin,1987
reconocimiento,raul_alfonsin,1987
palabra,raul_alfonsin,1987
comprensión,raul_alfonsin,1987
pleno,raul_alfonsin,1987
restablecimiento,raul_alfonsin,1987
instituciones,raul_alfonsin,1987
democráticas,raul_alfonsin,1987
constituye,raul_alfonsin,1987
momento,raul_alfonsin,1987
privilegiado,raul_alfonsin,1987
realiza,raul_alfonsin,1987
encuentro,raul_alfonsin,1987
pocos,raul_alfonsin,1987
haber,raul_alfonsin,1987
protagonizado,raul_alfonsin,1987
grave,raul_alfonsin,1987
crisis,raul_alfonsin,1987
institucional,raul_alfonsin,1987
existe,raul_alfonsin,1987
lógica,raul_alfonsin,1987
encadenamiento,raul_alfonsin,1987
sucesos,raul_alfonsin,1987
menos,raul_alfonsin,1987
previsibles,raul_alfonsin,1987
proceso,raul_alfonsin,1987
histórico,raul_alfonsin,1987
muchas,raul_alfonsin,1987
veces,raul_alfonsin,1987
escapa,raul_alfonsin,1987
comprensión,raul_alfonsin,1987
propios,raul_alfonsin,1987
protagonistas,raul_alfonsin,1987
suele,raul_alfonsin,1987
ocurrir,raul_alfonsin,1987
momentos,raul_alfonsin,1987
álgidos,raul_alfonsin,1987
intensidad,raul_alfonsin,1987
crisis,raul_alfonsin,1987
golpea,raul_alfonsin,1987
sociedad,raul_alfonsin,1987
instante,raul_alfonsin,1987
exacto,raul_alfonsin,1987
defensas,raul_alfonsin,1987
encuentran,raul_alfonsin,1987
aparentemente,raul_alfonsin,1987
menos,raul_alfonsin,1987
guarnecidas,raul_alfonsin,1987
tiempos,raul_alfonsin,1987
recogimiento,raul_alfonsin,1987
espiritual,raul_alfonsin,1987
verdaderas,raul_alfonsin,1987
pruebas,raul_alfonsin,1987
fuego,raul_alfonsin,1987
juega,raul_alfonsin,1987
patéticamente,raul_alfonsin,1987
metáforas,raul_alfonsin,1987
mediaciones,raul_alfonsin,1987
demoras,raul_alfonsin,1987
espacio,raul_alfonsin,1987
siquiera,raul_alfonsin,1987
análisis,raul_alfonsin,1987
racional,raul_alfonsin,1987
hechos,raul_alfonsin,1987
destino,raul_alfonsin,1987
pueblo,raul_alfonsin,1987
visto,raul_alfonsin,1987
vivido,raul_alfonsin,1987
pocas,raul_alfonsin,1987
veces,raul_alfonsin,1987
pasado,raul_alfonsin,1987
episodio,raul_alfonsin,1987
desgraciado,raul_alfonsin,1987
desembocó,raul_alfonsin,1987
extraordinaria,raul_alfonsin,1987
demostración,raul_alfonsin,1987
capaz,raul_alfonsin,1987
sociedad,raul_alfonsin,1987
decidida,raul_alfonsin,1987
dejarse,raul_alfonsin,1987
arrebatar,raul_alfonsin,1987
propia,raul_alfonsin,1987
historia,raul_alfonsin,1987
superado,raul_alfonsin,1987
ampliamente,raul_alfonsin,1987
encrucijadas,raul_alfonsin,1987
graves,raul_alfonsin,1987
nación,raul_alfonsin,1987
enfrentar,raul_alfonsin,1987
contraponen,raul_alfonsin,1987
dramatismo,raul_alfonsin,1987
cara,raul_alfonsin,1987
cara,raul_alfonsin,1987
muere,raul_alfonsin,1987
nace,raul_alfonsin,1987
empieza,raul_alfonsin,1987
crecer,raul_alfonsin,1987
largos,raul_alfonsin,1987
angustiantes,raul_alfonsin,1987
propia,raul_alfonsin,1987
experiencia,raul_alfonsin,1987
responsabilidad,raul_alfonsin,1987
participado,raul_alfonsin,1987
colosal,raul_alfonsin,1987
elaboración,raul_alfonsin,1987
colectiva,raul_alfonsin,1987
drama,raul_alfonsin,1987
argentino,raul_alfonsin,1987
últimos,raul_alfonsin,1987
sosiego,raul_alfonsin,1987
reflexión,raul_alfonsin,1987
apacible,raul_alfonsin,1987
conclusión,raul_alfonsin,1987
llega,raul_alfonsin,1987
razonando,raul_alfonsin,1987
experiencia,raul_alfonsin,1987
conmovedora,raul_alfonsin,1987
vital,raul_alfonsin,1987
condujo,raul_alfonsin,1987
sentir,raul_alfonsin,1987
crujía,raul_alfonsin,1987
crecíamos,raul_alfonsin,1987
pueblos,raul_alfonsin,1987
afrontan,raul_alfonsin,1987
instante,raul_alfonsin,1987
semejante,raul_alfonsin,1987
sufrir,raul_alfonsin,1987
vértigo,raul_alfonsin,1987
vacío,raul_alfonsin,1987
precipitarse,raul_alfonsin,1987
recogiendo,raul_alfonsin,1987
enseñanza,raul_alfonsin,1987
incorpora,raul_alfonsin,1987
emocionalmente,raul_alfonsin,1987
luego,raul_alfonsin,1987
ahora,raul_alfonsin,1987
invita,raul_alfonsin,1987
discernida,raul_alfonsin,1987
captar,raul_alfonsin,1987
mayor,raul_alfonsin,1987
fidelidad,raul_alfonsin,1987
significaron,raul_alfonsin,1987
especial,raul_alfonsin,1987
conjunto,raul_alfonsin,1987
pueblo,raul_alfonsin,1987
desafío,raul_alfonsin,1987
insoslayable,raul_alfonsin,1987
evitaremos,raul_alfonsin,1987
riesgo,raul_alfonsin,1987
despilfarrar,raul_alfonsin,1987
experiencia,raul_alfonsin,1987
colectiva,raul_alfonsin,1987
superior,raul_alfonsin,1987
eminente,raul_alfonsin,1987
angustias,raul_alfonsin,1987
lágrimas,raul_alfonsin,1987
entusiasmo,raul_alfonsin,1987
esperanza,raul_alfonsin,1987
honda,raul_alfonsin,1987
conmoción,raul_alfonsin,1987
convertirá,raul_alfonsin,1987
impulso,raul_alfonsin,1987
imprescindible,raul_alfonsin,1987
atravesar,raul_alfonsin,1987
meollo,raul_alfonsin,1987
transición,raul_alfonsin,1987
fuerza,raul_alfonsin,1987
brota,raul_alfonsin,1987
voluntad,raul_alfonsin,1987
pacífica,raul_alfonsin,1987
enseña,raul_alfonsin,1987
amenaza,raul_alfonsin,1987
armada,raul_alfonsin,1987
fuerza,raul_alfonsin,1987
colectivamente,raul_alfonsin,1987
experimentada,raul_alfonsin,1987
darse,raul_alfonsin,1987
pasos,raul_alfonsin,1987
definitivos,raul_alfonsin,1987
convivencia,raul_alfonsin,1987
encuentro,raul_alfonsin,1987
pasado,raul_alfonsin,1987
efecto,raul_alfonsin,1987
pretendió,raul_alfonsin,1987
alcanzarnos,raul_alfonsin,1987
instante,raul_alfonsin,1987
fronteras,raul_alfonsin,1987
desastre,raul_alfonsin,1987
colectivo,raul_alfonsin,1987
