word,presidente,year
sr,carlos_menem,1999
presidente,carlos_menem,1999
naciónseñor,carlos_menem,1999
vicepresidente,carlos_menem,1999
nación,carlos_menem,1999
señor,carlos_menem,1999
presidente,carlos_menem,1999
provisional,carlos_menem,1999
senado,carlos_menem,1999
señor,carlos_menem,1999
presidente,carlos_menem,1999
cámara,carlos_menem,1999
señor,carlos_menem,1999
presidente,carlos_menem,1999
corte,carlos_menem,1999
suprema,carlos_menem,1999
justicia,carlos_menem,1999
gobernadores,carlos_menem,1999
legisladores,carlos_menem,1999
ministros,carlos_menem,1999
poder,carlos_menem,1999
ejecutivo,carlos_menem,1999
nacional,carlos_menem,1999
miembros,carlos_menem,1999
cuerpo,carlos_menem,1999
diplomático,carlos_menem,1999
jefes,carlos_menem,1999
fuerzas,carlos_menem,1999
armadas,carlos_menem,1999
seguridad,carlos_menem,1999
autoridades,carlos_menem,1999
nacionales,carlos_menem,1999
autoridades,carlos_menem,1999
provinciales,carlos_menem,1999
señoras,carlos_menem,1999
congreso,carlos_menem,1999
nación,carlos_menem,1999
marzo,carlos_menem,1999
vengo,carlos_menem,1999
representantes,carlos_menem,1999
provincias,carlos_menem,1999
pueblo,carlos_menem,1999
argentino,carlos_menem,1999
dar,carlos_menem,1999
cuenta,carlos_menem,1999
nación,carlos_menem,1999
cargado,carlos_menem,1999
emociones,carlos_menem,1999
colmado,carlos_menem,1999
esperanza,carlos_menem,1999
decía,carlos_menem,1999
alejandro,carlos_menem,1999
magno,carlos_menem,1999
único,carlos_menem,1999
capital,carlos_menem,1999
grandes,carlos_menem,1999
concurro,carlos_menem,1999
profundo,carlos_menem,1999
agradecimiento,carlos_menem,1999
dios,carlos_menem,1999
pueblo,carlos_menem,1999
patria,carlos_menem,1999
haber,carlos_menem,1999
permitido,carlos_menem,1999
hijo,carlos_menem,1999
inmigrantes,carlos_menem,1999
nacido,carlos_menem,1999
árido,carlos_menem,1999
semiárido,carlos_menem,1999
pequeño,carlos_menem,1999
pueblo,carlos_menem,1999
amada,carlos_menem,1999
provincia,carlos_menem,1999
rioja,carlos_menem,1999
honor,carlos_menem,1999
gobernar,carlos_menem,1999
destino,carlos_menem,1999
joven,carlos_menem,1999
gloriosa,carlos_menem,1999
nación,carlos_menem,1999
lugar,carlos_menem,1999
asamblea,carlos_menem,1999
legislativa,carlos_menem,1999
reunida,carlos_menem,1999
sinteticé,carlos_menem,1999
ideario,carlos_menem,1999
político,carlos_menem,1999
guiar,carlos_menem,1999
gestión,carlos_menem,1999
presidente,carlos_menem,1999
nación,carlos_menem,1999
última,carlos_menem,1999
década,carlos_menem,1999
siglo,carlos_menem,1999
resumí,carlos_menem,1999
breve,carlos_menem,1999
consigna,carlos_menem,1999
levántate,carlos_menem,1999
anda,carlos_menem,1999
trescientos,carlos_menem,1999
ingreso,carlos_menem,1999
tercer,carlos_menem,1999
milenio,carlos_menem,1999
después,carlos_menem,1999
haber,carlos_menem,1999
librado,carlos_menem,1999
combate,carlos_menem,1999
haber,carlos_menem,1999
mantenido,carlos_menem,1999
fe,carlos_menem,1999
decir,carlos_menem,1999
alto,carlos_menem,1999
misión,carlos_menem,1999
cumplida,carlos_menem,1999
gracias,carlos_menem,1999
señor,carlos_menem,1999
ayuda,carlos_menem,1999
gracias,carlos_menem,1999
hermanas,carlos_menem,1999
hermanos,carlos_menem,1999
