word,presidente,year
asamblea,eduardo_duhalde,2003
queridos,eduardo_duhalde,2003
compatriotas,eduardo_duhalde,2003
vengo,eduardo_duhalde,2003
inaugurado,eduardo_duhalde,2003
centésimo,eduardo_duhalde,2003
vigésimo,eduardo_duhalde,2003
primer,eduardo_duhalde,2003
período,eduardo_duhalde,2003
sesiones,eduardo_duhalde,2003
ordinarias,eduardo_duhalde,2003
congreso,eduardo_duhalde,2003
nacional,eduardo_duhalde,2003
representantes,eduardo_duhalde,2003
pueblo,eduardo_duhalde,2003
provincias,eduardo_duhalde,2003
argentinas,eduardo_duhalde,2003
confiaron,eduardo_duhalde,2003
honor,eduardo_duhalde,2003
gobernar,eduardo_duhalde,2003
destinos,eduardo_duhalde,2003
vuelvo,eduardo_duhalde,2003
después,eduardo_duhalde,2003
enorme,eduardo_duhalde,2003
sacrificio,eduardo_duhalde,2003
pueblo,eduardo_duhalde,2003
realizado,eduardo_duhalde,2003
arduo,eduardo_duhalde,2003
trabajo,eduardo_duhalde,2003
reencaminar,eduardo_duhalde,2003
patria,eduardo_duhalde,2003
después,eduardo_duhalde,2003
derrumbe,eduardo_duhalde,2003
origen,eduardo_duhalde,2003
mandato,eduardo_duhalde,2003
parlamentario,eduardo_duhalde,2003
invistieron,eduardo_duhalde,2003
legalidad,eduardo_duhalde,2003
trabajo,eduardo_duhalde,2003
lógicamente,eduardo_duhalde,2003
recinto,eduardo_duhalde,2003
debo,eduardo_duhalde,2003
exponer,eduardo_duhalde,2003
tarea,eduardo_duhalde,2003
cumplida,eduardo_duhalde,2003
formar,eduardo_duhalde,2003
gobierno,eduardo_duhalde,2003
convoqué,eduardo_duhalde,2003
destacados,eduardo_duhalde,2003
hombres,eduardo_duhalde,2003
mujeres,eduardo_duhalde,2003
integraban,eduardo_duhalde,2003
congreso,eduardo_duhalde,2003
imprescindible,eduardo_duhalde,2003
crear,eduardo_duhalde,2003
puentes,eduardo_duhalde,2003
permanentes,eduardo_duhalde,2003
entendimiento,eduardo_duhalde,2003
poderes,eduardo_duhalde,2003
republicanos,eduardo_duhalde,2003
agradecer,eduardo_duhalde,2003
colaboración,eduardo_duhalde,2003
prestada,eduardo_duhalde,2003
horas,eduardo_duhalde,2003
difíciles,eduardo_duhalde,2003
honra,eduardo_duhalde,2003
confirieron,eduardo_duhalde,2003
respondí,eduardo_duhalde,2003
honestidad,eduardo_duhalde,2003
convicciones,eduardo_duhalde,2003
tenaz,eduardo_duhalde,2003
espíritu,eduardo_duhalde,2003
trabajo,eduardo_duhalde,2003
asumí,eduardo_duhalde,2003
seguridad,eduardo_duhalde,2003
terminado,eduardo_duhalde,2003
ciclo,eduardo_duhalde,2003
sumergido,eduardo_duhalde,2003
desastre,eduardo_duhalde,2003
político,eduardo_duhalde,2003
económico,eduardo_duhalde,2003
social,eduardo_duhalde,2003
verdadera,eduardo_duhalde,2003
implosión,eduardo_duhalde,2003
valores,eduardo_duhalde,2003
orientadores,eduardo_duhalde,2003
básicos,eduardo_duhalde,2003
convivencia,eduardo_duhalde,2003
dramatismo,eduardo_duhalde,2003
situación,eduardo_duhalde,2003
veíamos,eduardo_duhalde,2003
pauperización,eduardo_duhalde,2003
creciente,eduardo_duhalde,2003
población,eduardo_duhalde,2003
laboriosavastos,eduardo_duhalde,2003
sectores,eduardo_duhalde,2003
clase,eduardo_duhalde,2003
media,eduardo_duhalde,2003
caían,eduardo_duhalde,2003
debajo,eduardo_duhalde,2003
línea,eduardo_duhalde,2003
pobreza,eduardo_duhalde,2003
verdadero,eduardo_duhalde,2003
ejército,eduardo_duhalde,2003
trabajadores,eduardo_duhalde,2003
desocupados,eduardo_duhalde,2003
pasaba,eduardo_duhalde,2003
revistar,eduardo_duhalde,2003
categoría,eduardo_duhalde,2003
nuevos,eduardo_duhalde,2003
pobres,eduardo_duhalde,2003
indigentes,eduardo_duhalde,2003
par,eduardo_duhalde,2003
sufrían,eduardo_duhalde,2003
carne,eduardo_duhalde,2003
propia,eduardo_duhalde,2003
derrumbe,eduardo_duhalde,2003
sentían,eduardo_duhalde,2003
injustamente,eduardo_duhalde,2003
damnificados,eduardo_duhalde,2003
ahorristas,eduardo_duhalde,2003
dinero,eduardo_duhalde,2003
acorralado,eduardo_duhalde,2003
productores,eduardo_duhalde,2003
campos,eduardo_duhalde,2003
hipotecados,eduardo_duhalde,2003
industriales,eduardo_duhalde,2003
fábricas,eduardo_duhalde,2003
paradas,eduardo_duhalde,2003
comerciantes,eduardo_duhalde,2003
bajando,eduardo_duhalde,2003
persianas,eduardo_duhalde,2003
jubilados,eduardo_duhalde,2003
pensionados,eduardo_duhalde,2003
trabajadores,eduardo_duhalde,2003
salarios,eduardo_duhalde,2003
disminuidos,eduardo_duhalde,2003
cuentapropistas,eduardo_duhalde,2003
condenados,eduardo_duhalde,2003
changa,eduardo_duhalde,2003
investigadores,eduardo_duhalde,2003
científicos,eduardo_duhalde,2003
artistas,eduardo_duhalde,2003
emigrando,eduardo_duhalde,2003
maestros,eduardo_duhalde,2003
profesores,eduardo_duhalde,2003
académicos,eduardo_duhalde,2003
olvidados,eduardo_duhalde,2003
absolutamente,eduardo_duhalde,2003
sentían,eduardo_duhalde,2003
hecho,eduardo_duhalde,2003
víctimas,eduardo_duhalde,2003
vendaval,eduardo_duhalde,2003
perjudicados,eduardo_duhalde,2003
siguen,eduardo_duhalde,2003
excluidos,eduardo_duhalde,2003
techo,eduardo_duhalde,2003
trabajo,eduardo_duhalde,2003
salud,eduardo_duhalde,2003
educación,eduardo_duhalde,2003
alimento,eduardo_duhalde,2003
vestido,eduardo_duhalde,2003
pasado,eduardo_duhalde,2003
siguió,eduardo_duhalde,2003
cayendo,eduardo_duhalde,2003
peso,eduardo_duhalde,2003
crisis,eduardo_duhalde,2003
cifras,eduardo_duhalde,2003
recurrentes,eduardo_duhalde,2003
pobreza,eduardo_duhalde,2003
indigencia,eduardo_duhalde,2003
muestra,eduardo_duhalde,2003
cabal,eduardo_duhalde,2003
recién,eduardo_duhalde,2003
ahora,eduardo_duhalde,2003
triste,eduardo_duhalde,2003
realidad,eduardo_duhalde,2003
empieza,eduardo_duhalde,2003
transformarse,eduardo_duhalde,2003
desafío,eduardo_duhalde,2003
mayor,eduardo_duhalde,2003
seguimos,eduardo_duhalde,2003
enfrentando,eduardo_duhalde,2003
equipo,eduardo_duhalde,2003
gobierno,eduardo_duhalde,2003
silencio,eduardo_duhalde,2003
tenacidad,eduardo_duhalde,2003
debió,eduardo_duhalde,2003
trabajar,eduardo_duhalde,2003
urgencias,eduardo_duhalde,2003
dictaban,eduardo_duhalde,2003
líneas,eduardo_duhalde,2003
imperiosas,eduardo_duhalde,2003
acción,eduardo_duhalde,2003
objetivo,eduardo_duhalde,2003
final,eduardo_duhalde,2003
recuperar,eduardo_duhalde,2003
sentimiento,eduardo_duhalde,2003
patria,eduardo_duhalde,2003
compromiso,eduardo_duhalde,2003
fe,eduardo_duhalde,2003
tradiciones,eduardo_duhalde,2003
grandeza,eduardo_duhalde,2003
pueblo,eduardo_duhalde,2003
perplejo,eduardo_duhalde,2003
maltratado,eduardo_duhalde,2003
asumí,eduardo_duhalde,2003
convicción,eduardo_duhalde,2003
patriótica,eduardo_duhalde,2003
tomar,eduardo_duhalde,2003
firmeza,eduardo_duhalde,2003
timón,eduardo_duhalde,2003
república,eduardo_duhalde,2003
peor,eduardo_duhalde,2003
momento,eduardo_duhalde,2003
materia,eduardo_duhalde,2003
económica,eduardo_duhalde,2003
social,eduardo_duhalde,2003
contemporánea,eduardo_duhalde,2003
asumí,eduardo_duhalde,2003
echando,eduardo_duhalde,2003
mano,eduardo_duhalde,2003
principios,eduardo_duhalde,2003
decisión,eduardo_duhalde,2003
poner,eduardo_duhalde,2003
pie,eduardo_duhalde,2003
paz,eduardo_duhalde,2003
sentar,eduardo_duhalde,2003
bases,eduardo_duhalde,2003
nuevo,eduardo_duhalde,2003
modelo,eduardo_duhalde,2003
económico,eduardo_duhalde,2003
fundado,eduardo_duhalde,2003
producción,eduardo_duhalde,2003
trabajo,eduardo_duhalde,2003
urgencias,eduardo_duhalde,2003
debíamos,eduardo_duhalde,2003
atender,eduardo_duhalde,2003
prioritariamente,eduardo_duhalde,2003
obligaban,eduardo_duhalde,2003
decidir,eduardo_duhalde,2003
actuar,eduardo_duhalde,2003
emergencia,eduardo_duhalde,2003
inmersos,eduardo_duhalde,2003
fuerte,eduardo_duhalde,2003
crisis,eduardo_duhalde,2003
representatividad,eduardo_duhalde,2003
falta,eduardo_duhalde,2003
fe,eduardo_duhalde,2003
instituciones,eduardo_duhalde,2003
peor,eduardo_duhalde,2003
propia,eduardo_duhalde,2003
democracia,eduardo_duhalde,2003
peligro,eduardo_duhalde,2003
sectores,eduardo_duhalde,2003
vida,eduardo_duhalde,2003
nacional,eduardo_duhalde,2003
vivían,eduardo_duhalde,2003
momentos,eduardo_duhalde,2003
gravedad,eduardo_duhalde,2003
intensa,eduardo_duhalde,2003
angustia,eduardo_duhalde,2003
proceso,eduardo_duhalde,2003
empezó,eduardo_duhalde,2003
fines,eduardo_duhalde,2003
recesión,eduardo_duhalde,2003
actividad,eduardo_duhalde,2003
económica,eduardo_duhalde,2003
caída,eduardo_duhalde,2003
empleo,eduardo_duhalde,2003
nivel,eduardo_duhalde,2003
vida,eduardo_duhalde,2003
agravándose,eduardo_duhalde,2003
terminar,eduardo_duhalde,2003
depresión,eduardo_duhalde,2003
ésta,eduardo_duhalde,2003
comparable,eduardo_duhalde,2003
sacudió,eduardo_duhalde,2003
unidos,eduardo_duhalde,2003
naciones,eduardo_duhalde,2003
década,eduardo_duhalde,2003
siglo,eduardo_duhalde,2003
pasado,eduardo_duhalde,2003
poder,eduardo_duhalde,2003
corrosivo,eduardo_duhalde,2003
depresión,eduardo_duhalde,2003
abarca,eduardo_duhalde,2003
órdenes,eduardo_duhalde,2003
sociedad,eduardo_duhalde,2003
sectores,eduardo_duhalde,2003
alcanzados,eduardo_duhalde,2003
crisis,eduardo_duhalde,2003
económica,eduardo_duhalde,2003
social,eduardo_duhalde,2003
política,eduardo_duhalde,2003
cultural,eduardo_duhalde,2003
espiritual,eduardo_duhalde,2003
pierden,eduardo_duhalde,2003
valores,eduardo_duhalde,2003
tradiciones,eduardo_duhalde,2003
sentido,eduardo_duhalde,2003
solidaridad,eduardo_duhalde,2003
último,eduardo_duhalde,2003
destruye,eduardo_duhalde,2003
tejido,eduardo_duhalde,2003
social,eduardo_duhalde,2003
sector,eduardo_duhalde,2003
pugna,eduardo_duhalde,2003
encontrar,eduardo_duhalde,2003
soluciones,eduardo_duhalde,2003
veces,eduardo_duhalde,2003
expensas,eduardo_duhalde,2003
definí,eduardo_duhalde,2003
situación,eduardo_duhalde,2003
límite,eduardo_duhalde,2003
diciendo,eduardo_duhalde,2003
enfrentábamos,eduardo_duhalde,2003
proceso,eduardo_duhalde,2003
preanárquico,eduardo_duhalde,2003
marchaba,eduardo_duhalde,2003
disolución,eduardo_duhalde,2003
nacional,eduardo_duhalde,2003
primer,eduardo_duhalde,2003
inicié,eduardo_duhalde,2003
diálogo,eduardo_duhalde,2003
personal,eduardo_duhalde,2003
sectores,eduardo_duhalde,2003
razón,eduardo_duhalde,2003
