word,presidente,year
señor,nestor_kirchner,2005
vicepresidente,nestor_kirchner,2005
nación,nestor_kirchner,2005
señor,nestor_kirchner,2005
presidente,nestor_kirchner,2005
provisional,nestor_kirchner,2005
senado,nestor_kirchner,2005
señor,nestor_kirchner,2005
presidente,nestor_kirchner,2005
cámara,nestor_kirchner,2005
gobernadores,nestor_kirchner,2005
ministros,nestor_kirchner,2005
poder,nestor_kirchner,2005
ejecutivo,nestor_kirchner,2005
nacional,nestor_kirchner,2005
jefes,nestor_kirchner,2005
mayor,nestor_kirchner,2005
conjunto,nestor_kirchner,2005
mayores,nestor_kirchner,2005
generales,nestor_kirchner,2005
fuerzas,nestor_kirchner,2005
armadas,nestor_kirchner,2005
legisladores,nestor_kirchner,2005
miembros,nestor_kirchner,2005
cuerpo,nestor_kirchner,2005
diplomático,nestor_kirchner,2005
señoras,nestor_kirchner,2005
vengo,nestor_kirchner,2005
inauguradas,nestor_kirchner,2005
sesiones,nestor_kirchner,2005
congreso,nestor_kirchner,2005
nación,nestor_kirchner,2005
dispone,nestor_kirchner,2005
inciso,nestor_kirchner,2005
artículo,nestor_kirchner,2005
constitución,nestor_kirchner,2005
nación,nestor_kirchner,2005
ocasión,nestor_kirchner,2005
prevista,nestor_kirchner,2005
ley,nestor_kirchner,2005
fundamental,nestor_kirchner,2005
carácter,nestor_kirchner,2005
presidente,nestor_kirchner,2005
dé,nestor_kirchner,2005
cuenta,nestor_kirchner,2005
asamblea,nestor_kirchner,2005
legislativa,nestor_kirchner,2005
nación,nestor_kirchner,2005
repasando,nestor_kirchner,2005
recorrido,nestor_kirchner,2005
verificar,nestor_kirchner,2005
haciendo,nestor_kirchner,2005
marcar,nestor_kirchner,2005
rumbos,nestor_kirchner,2005
debemos,nestor_kirchner,2005
seguir,nestor_kirchner,2005
trata,nestor_kirchner,2005
preciso,nestor_kirchner,2005
recordar,nestor_kirchner,2005
situación,nestor_kirchner,2005
venimos,nestor_kirchner,2005
superando,nestor_kirchner,2005
esfuerzo,nestor_kirchner,2005
constituyó,nestor_kirchner,2005
peor,nestor_kirchner,2005
crisis,nestor_kirchner,2005
historia,nestor_kirchner,2005
escalando,nestor_kirchner,2005
peldaño,nestor_kirchner,2005
peldaño,nestor_kirchner,2005
todavía,nestor_kirchner,2005
calvario,nestor_kirchner,2005
venimos,nestor_kirchner,2005
infierno,nestor_kirchner,2005
intentando,nestor_kirchner,2005
todavía,nestor_kirchner,2005
salir,nestor_kirchner,2005
debemos,nestor_kirchner,2005
actuar,nestor_kirchner,2005
memoria,nestor_kirchner,2005
deberemos,nestor_kirchner,2005
repasar,nestor_kirchner,2005
hechos,nestor_kirchner,2005
marcan,nestor_kirchner,2005
contundencia,nestor_kirchner,2005
veces,nestor_kirchner,2005
cuánto,nestor_kirchner,2005
avanzado,nestor_kirchner,2005
veces,nestor_kirchner,2005
cuánto,nestor_kirchner,2005
falta,nestor_kirchner,2005
recorrer,nestor_kirchner,2005
cuánto,nestor_kirchner,2005
cuesta,nestor_kirchner,2005
reconstruir,nestor_kirchner,2005
destruido,nestor_kirchner,2005
propia,nestor_kirchner,2005
naturaleza,nestor_kirchner,2005
problemas,nestor_kirchner,2005
enfrentamos,nestor_kirchner,2005
marca,nestor_kirchner,2005
rumbo,nestor_kirchner,2005
correcto,nestor_kirchner,2005
marca,nestor_kirchner,2005
esfuerzo,nestor_kirchner,2005
debe,nestor_kirchner,2005
continuado,nestor_kirchner,2005
crisis,nestor_kirchner,2005
recurrentes,nestor_kirchner,2005
obstaculizado,nestor_kirchner,2005
permanencia,nestor_kirchner,2005
políticas,nestor_kirchner,2005
correctas,nestor_kirchner,2005
impedido,nestor_kirchner,2005
continúe,nestor_kirchner,2005
rumbo,nestor_kirchner,2005
queremos,nestor_kirchner,2005
volver,nestor_kirchner,2005
pasado,nestor_kirchner,2005
queremos,nestor_kirchner,2005
memoria,nestor_kirchner,2005
verdad,nestor_kirchner,2005
justicia,nestor_kirchner,2005
construir,nestor_kirchner,2005
bases,nestor_kirchner,2005
sólido,nestor_kirchner,2005
futuro,nestor_kirchner,2005
pasó,nestor_kirchner,2005
recordado,nestor_kirchner,2005
logramos,nestor_kirchner,2005
estructurar,nestor_kirchner,2005
solución,nestor_kirchner,2005
estratégica,nestor_kirchner,2005
problema,nestor_kirchner,2005
deuda,nestor_kirchner,2005
externa,nestor_kirchner,2005
república,nestor_kirchner,2005
permaneciendo,nestor_kirchner,2005
fieles,nestor_kirchner,2005
convicción,nestor_kirchner,2005
evitar,nestor_kirchner,2005
sacrificios,nestor_kirchner,2005
sufrimientos,nestor_kirchner,2005
pueblo,nestor_kirchner,2005
fortaleciendo,nestor_kirchner,2005
capacidad,nestor_kirchner,2005
autónoma,nestor_kirchner,2005
economía,nestor_kirchner,2005
iniciado,nestor_kirchner,2005
proceso,nestor_kirchner,2005
crecimiento,nestor_kirchner,2005
sostenido,nestor_kirchner,2005
principio,nestor_kirchner,2005
interpretado,nestor_kirchner,2005
analistas,nestor_kirchner,2005
mera,nestor_kirchner,2005
recuperación,nestor_kirchner,2005
temporaria,nestor_kirchner,2005
considerarse,nestor_kirchner,2005
lugar,nestor_kirchner,2005
dudas,nestor_kirchner,2005
inicio,nestor_kirchner,2005
nueva,nestor_kirchner,2005
etapa,nestor_kirchner,2005
funcionamiento,nestor_kirchner,2005
economía,nestor_kirchner,2005
disciplina,nestor_kirchner,2005
fiscal,nestor_kirchner,2005
reducción,nestor_kirchner,2005
carga,nestor_kirchner,2005
deuda,nestor_kirchner,2005
prudencia,nestor_kirchner,2005
monetaria,nestor_kirchner,2005
superávit,nestor_kirchner,2005
externo,nestor_kirchner,2005
crecimiento,nestor_kirchner,2005
reservas,nestor_kirchner,2005
vigoroso,nestor_kirchner,2005
crecimiento,nestor_kirchner,2005
diversificación,nestor_kirchner,2005
exportaciones,nestor_kirchner,2005
aumento,nestor_kirchner,2005
inversión,nestor_kirchner,2005
productiva,nestor_kirchner,2005
reversión,nestor_kirchner,2005
fuga,nestor_kirchner,2005
capitales,nestor_kirchner,2005
creación,nestor_kirchner,2005
puestos,nestor_kirchner,2005
trabajo,nestor_kirchner,2005
genuinos,nestor_kirchner,2005
recuperación,nestor_kirchner,2005
poder,nestor_kirchner,2005
adquisitivo,nestor_kirchner,2005
salarios,nestor_kirchner,2005
reducción,nestor_kirchner,2005
pobreza,nestor_kirchner,2005
indigencia,nestor_kirchner,2005
inicio,nestor_kirchner,2005
reversión,nestor_kirchner,2005
deterioro,nestor_kirchner,2005
distribución,nestor_kirchner,2005
ingreso,nestor_kirchner,2005
rasgos,nestor_kirchner,2005
característicos,nestor_kirchner,2005
señalan,nestor_kirchner,2005
comienzo,nestor_kirchner,2005
nueva,nestor_kirchner,2005
etapa,nestor_kirchner,2005
debe,nestor_kirchner,2005
resultar,nestor_kirchner,2005
proceso,nestor_kirchner,2005
genuino,nestor_kirchner,2005
desarrollo,nestor_kirchner,2005
permita,nestor_kirchner,2005
declinación,nestor_kirchner,2005
persistente,nestor_kirchner,2005
consecuencia,nestor_kirchner,2005
inadecuadas,nestor_kirchner,2005
ocasiones,nestor_kirchner,2005
irresponsables,nestor_kirchner,2005
políticas,nestor_kirchner,2005
económicas,nestor_kirchner,2005
pasado,nestor_kirchner,2005
perdió,nestor_kirchner,2005
décadas,nestor_kirchner,2005
lugar,nestor_kirchner,2005
naciones,nestor_kirchner,2005
prósperas,nestor_kirchner,2005
todavía,nestor_kirchner,2005
notoriamente,nestor_kirchner,2005
empobrecido,nestor_kirchner,2005
particularmente,nestor_kirchner,2005
injusto,nestor_kirchner,2005
todavía,nestor_kirchner,2005
salido,nestor_kirchner,2005
infierno,nestor_kirchner,2005
consolidar,nestor_kirchner,2005
nueva,nestor_kirchner,2005
situación,nestor_kirchner,2005
punto,nestor_kirchner,2005
partida,nestor_kirchner,2005
comenzar,nestor_kirchner,2005
revertir,nestor_kirchner,2005
historia,nestor_kirchner,2005
volver,nestor_kirchner,2005
instalar,nestor_kirchner,2005
noción,nestor_kirchner,2005
progreso,nestor_kirchner,2005
cohesión,nestor_kirchner,2005
social,nestor_kirchner,2005
patria,nestor_kirchner,2005
economía,nestor_kirchner,2005
lleva,nestor_kirchner,2005
trimestres,nestor_kirchner,2005
precisos,nestor_kirchner,2005
meses,nestor_kirchner,2005
consecutivos,nestor_kirchner,2005
crecimiento,nestor_kirchner,2005
ininterrumpido,nestor_kirchner,2005
pbi,nestor_kirchner,2005
acumula,nestor_kirchner,2005
punto,nestor_kirchner,2005
mínimo,nestor_kirchner,2005
depresión,nestor_kirchner,2005
incremento,nestor_kirchner,2005
hecho,nestor_kirchner,2005
inédito,nestor_kirchner,2005
últimos,nestor_kirchner,2005
historia,nestor_kirchner,2005
económica,nestor_kirchner,2005
crecimiento,nestor_kirchner,2005
actividad,nestor_kirchner,2005
económica,nestor_kirchner,2005
cerró,nestor_kirchner,2005
alza,nestor_kirchner,2005
tasas,nestor_kirchner,2005
crecimiento,nestor_kirchner,2005
elevadas,nestor_kirchner,2005
mundo,nestor_kirchner,2005
manera,nestor_kirchner,2005
pib,nestor_kirchner,2005
superado,nestor_kirchner,2005
máximos,nestor_kirchner,2005
correspondientes,nestor_kirchner,2005
período,nestor_kirchner,2005
precrisis,nestor_kirchner,2005
términos,nestor_kirchner,2005
per,nestor_kirchner,2005
cápita,nestor_kirchner,2005
luego,nestor_kirchner,2005
contracción,nestor_kirchner,2005
superior,nestor_kirchner,2005
inicio,nestor_kirchner,2005
recesión,nestor_kirchner,2005
recuperado,nestor_kirchner,2005
corto,nestor_kirchner,2005
lapso,nestor_kirchner,2005
niveles,nestor_kirchner,2005
previos,nestor_kirchner,2005
crecimiento,nestor_kirchner,2005
promedio,nestor_kirchner,2005
producto,nestor_kirchner,2005
habitante,nestor_kirchner,2005
anual,nestor_kirchner,2005
nuevamente,nestor_kirchner,2005
remontarse,nestor_kirchner,2005
primeras,nestor_kirchner,2005
décadas,nestor_kirchner,2005
siglo,nestor_kirchner,2005
pasado,nestor_kirchner,2005
encontrar,nestor_kirchner,2005
desempeño,nestor_kirchner,2005
semejante,nestor_kirchner,2005
vigoroso,nestor_kirchner,2005
crecimiento,nestor_kirchner,2005
últimos,nestor_kirchner,2005
vio,nestor_kirchner,2005
caracterizado,nestor_kirchner,2005
notoria,nestor_kirchner,2005
recuperación,nestor_kirchner,2005
producción,nestor_kirchner,2005
actividades,nestor_kirchner,2005
generadoras,nestor_kirchner,2005
ahorradoras,nestor_kirchner,2005
divisas,nestor_kirchner,2005
cruciales,nestor_kirchner,2005
endeudado,nestor_kirchner,2005
participación,nestor_kirchner,2005
precios,nestor_kirchner,2005
corrientes,nestor_kirchner,2005
sectores,nestor_kirchner,2005
pib,nestor_kirchner,2005
bajó,nestor_kirchner,2005
grupo,nestor_kirchner,2005
actividades,nestor_kirchner,2005
sector,nestor_kirchner,2005
industrial,nestor_kirchner,2005
