word,presidente,year
buenos,cristina_fernandez_de_kirchner,2015
vengo,cristina_fernandez_de_kirchner,2015
cumplir,cristina_fernandez_de_kirchner,2015
dispuesto,cristina_fernandez_de_kirchner,2015
constitución,cristina_fernandez_de_kirchner,2015
nación,cristina_fernandez_de_kirchner,2015
artículo,cristina_fernandez_de_kirchner,2015
inciso,cristina_fernandez_de_kirchner,2015
inaugurar,cristina_fernandez_de_kirchner,2015
asamblea,cristina_fernandez_de_kirchner,2015
legislativa,cristina_fernandez_de_kirchner,2015
dar,cristina_fernandez_de_kirchner,2015
cuenta,cristina_fernandez_de_kirchner,2015
nación,cristina_fernandez_de_kirchner,2015
verdad,cristina_fernandez_de_kirchner,2015
comenzar,cristina_fernandez_de_kirchner,2015
dando,cristina_fernandez_de_kirchner,2015
cuenta,cristina_fernandez_de_kirchner,2015
nación,cristina_fernandez_de_kirchner,2015
palabras,cristina_fernandez_de_kirchner,2015
propias,cristina_fernandez_de_kirchner,2015
palabras,cristina_fernandez_de_kirchner,2015
discursos,cristina_fernandez_de_kirchner,2015
sector,cristina_fernandez_de_kirchner,2015
viernes,cristina_fernandez_de_kirchner,2015
pude,cristina_fernandez_de_kirchner,2015
leer,cristina_fernandez_de_kirchner,2015
tuit,cristina_fernandez_de_kirchner,2015
cuenta,cristina_fernandez_de_kirchner,2015
joseph,cristina_fernandez_de_kirchner,2015
cotterill,cristina_fernandez_de_kirchner,2015
principales,cristina_fernandez_de_kirchner,2015
periodistas,cristina_fernandez_de_kirchner,2015
financial,cristina_fernandez_de_kirchner,2015
times,cristina_fernandez_de_kirchner,2015
periodista,cristina_fernandez_de_kirchner,2015
decía,cristina_fernandez_de_kirchner,2015
lograron,cristina_fernandez_de_kirchner,2015
finalmente,cristina_fernandez_de_kirchner,2015
lograron,cristina_fernandez_de_kirchner,2015
bonos,cristina_fernandez_de_kirchner,2015
reestructurados,cristina_fernandez_de_kirchner,2015
cotizan,cristina_fernandez_de_kirchner,2015
par,cristina_fernandez_de_kirchner,2015
pesos,cristina_fernandez_de_kirchner,2015
nominal,cristina_fernandez_de_kirchner,2015
bono,cristina_fernandez_de_kirchner,2015
deuda,cristina_fernandez_de_kirchner,2015
felicitar,cristina_fernandez_de_kirchner,2015
especial,cristina_fernandez_de_kirchner,2015
equipo,cristina_fernandez_de_kirchner,2015
económico,cristina_fernandez_de_kirchner,2015
gobierno,cristina_fernandez_de_kirchner,2015
supo,cristina_fernandez_de_kirchner,2015
ayudó,cristina_fernandez_de_kirchner,2015
llevar,cristina_fernandez_de_kirchner,2015
dura,cristina_fernandez_de_kirchner,2015
tarea,cristina_fernandez_de_kirchner,2015
remontar,cristina_fernandez_de_kirchner,2015
