lista,votos,electores,cargos
Menem - Duhalde (Frente Justicialista De Unidad Popular),7953301,20034252,312
Angeloz - Casella (Union Civica Radical),5433369,20034252,213
Alsogaray - Natale (Alianza De Centro),1150603,20034252,33
Angeloz - Guzman (Confederacion Federalista Independiente),768128,20034252,21
Vicente - Zamora (Alianza Izquierda Unida),409751,20034252,1
Corzo - Houssay (Blanco De Los Jubilados),317934,20034252,7
Partidos De Distrito,316492,20034252,13
Estevez Boero - Bravo (Alianza Unidad Socialista),218785,20034252,0
Altamira - Flores (Obrero),45762,20034252,0
Ammann - Mendez (Frente Humanista-Verde),42319,20034252,0
Bustelo - Hernandez (Acuerdo Popular),4783,20034252,0
Del Trabajo Y Del Pueblo,2770,20034252,0
Movimiento Democratico Popular Antiimperialista,1339,20034252,0
Movimiento De Integracion Y Desarrollo,557,20034252,0
Votos En Blanco,221585,20034252,0
Votos Nulos,115686,20034252,0
