lista,votos,electores
Menem - Ruckauf,8687319,22178154
Bordon - Alvarez,5095929,22178154
Massaccessi - Hernández,2956087,22178154
Rico - Fernández Pezzano,294467,22178154
López De Zavalía - Benajam (Fuerza Republicana),79609,22178154
Solanas - Imizcoz,71620,22178154
Zamora - Díaz (Movimiento Socialista De Los Trabajadores),45970,22178154
Altamira - Molle,32395,22178154
Mazzitelli - Fonseca (Socialista Auténtico),32174,22178154
Méndez - Ambrosio (Humanista),31202,22178154
Christensen - Montes,27542,22178154
Tumini - Reyna (Corriente Patria Libre),24326,22178154
Santucho - Anognazzi (Movimiento Democrático Antiimperialista),13064,22178154
Paz - González Chavez (Alianza Frente Para La Coincidencia Patriótica),3147,22178154
Votos En Blanco,653434,22178154
Votos Nulos,125105,22178154
