lista,votos,electores
Alianza Frente De Todos: Fernández - Fernández,12205938,33847632
Alianza Juntos Por El Cambio: Macri - Pichetto,8121689,33847632
Alianza Consenso Federal: Lavagna - Urtubey,2081315,33847632
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,723147,33847632
Alianza Frente Nos: Gómez Centurión - Hotton,670162,33847632
Unite Por La Libertad Y La Dignidad: Espert - Rosales,550593,33847632
Movimiento Al Socialismo: Castañeira - Mulhall,179461,33847632
Alianza Frente Patriota: Biondini - Venturino,58944,33847632
Movimiento De Acción Vecinal: Albarracín - Pastore,36411,33847632
Partido Autonomista: Romero Feris - Sueldo,32722,33847632
Votos En Blanco,882659,33847632
Votos Nulos,318009,33847632
