lista,votos,electores
Macri - Michetti (Alianza Propuesta Republicana),1007729,2572326
Filmus - Heller,645779,2572326
Telerman - Olivera,0,2572326
Walsh - Bidonde (Movimiento Socialista De Los Trabajadores),0,2572326
Lozano - González (Buenos Aires Para Todos),0,2572326
Mendez - Avella (Humanista),0,2572326
Ramal - Biasi (Obrero),0,2572326
Cherashny - Gómez (Consenso Porteño),0,2572326
Castillo - Artacho (De Los Trabajadores Socialistas),0,2572326
Selser - Camps (Socialista Auténtico),0,2572326
Castillo - Guidobono Rey (Alianza Frente De Izquierda Socialista Revolucionaria),0,2572326
Heberling - Salmini (Movimiento Al Socialismo),0,2572326
Saboulard - Bullrich (Movimiento Independiente De Jubilados Y Desocupados),0,2572326
Venturino - Hoyos (Movimiento Por La Dignidad Y La Independencia),0,2572326
Beica - Bustos (Convergencia Socialista)),0,2572326
Brodsky - Pecora (Concertación Popular,0,2572326
Mussa - Llanos (Acción Ciudadana),0,2572326
Patané - Oates (El Movimiento),0,2572326
Votos En Blanco,53334,2572326
Votos Nulos,52045,2572326
