lista,votos,electores
De La Rua - Olivera,753335,2556489
La Porta - Ibarra (Frente Pais Solidario),500542,2556489
Domínguez - Kessler,351746,2556489
Béliz - Francos,247500,2556489
Mendez - Ambrosio (Humanista),9239,2556489
Zamorano - Sofia (Alianza Unidad De Izquierda Popular),7650,2556489
Russomando - Martens (Socialista Autentico),5390,2556489
Rieznik - Guagnini (Frente Unidad Trabajadora - Obrero),5064,2556489
Sacchi - De Biase (Trabajadores Por El Socialismo),4340,2556489
Marrone - Britos (Movimiento Al Socialismo),3811,2556489
Votos En Blanco,36332,2556489
Votos Nulos,15650,2556489
