lista,votos,electores
Alianza Juntos Por El Cambio - Juntos Somos El Cambio: Larreta,905875,2588852
Alianza Frente De Todos - A -Celeste Y Blanca: Lammens,623044,2588852
Alianza Consenso Federal - Consenso Para El Futuro: Tombolini,140583,2588852
Alianza Frente De Izquierda Y De Los Trabajadores - Unidad: Solano,78243,2588852
Autodeterminación Y Libertad - Que Los Pueblos Manden: Martinez,23600,2588852
Movimiento Al Socialismo - Unidad De La Izquierda: Forte,17682,2588852
Dignidad Popular - Liberación: Martinez Herrero,2216,2588852
Unite Por La Libertad Y La Dignidad - Lista B-Dignidad: Valerstein,994,2588852
Votos En Blanco,166974,2588852
Votos Nulos,18043,2588852
