lista,votos,electores,cargos
Union Civica Radical,1269352,2341791,37
Justicialista,540389,2341791,15
Intransigente,88480,2341791,2
Union De Centro Democratico,25263,2341791,0
Movimiento De Integracion Y Desarrollo,14480,2341791,0
Alianza Federal,14190,2341791,0
Movimiento Al Socialismo,7854,2341791,0
Alianza Democrata Socialista,6238,2341791,0
Democrata Cristiano,3630,2341791,0
Obrero,2606,2341791,0
Socialista Popular,1740,2341791,0
Frente De Izquierda Popular,1035,2341791,0
Votos Blancos,21058,2341791,0
Votos Nulos,12364,2341791,0
