lista,votos,electores
Carrió - Giustiniani (Alianza Confederacion Coalicion Civica),707132,2583026
Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria),444801,2583026
Lavagna - Morales (Alianza Concertacion Para Una Nacion Avanzada),344383,2583026
"Rodriguez Saá - Maya (Alianza Frente Justicia, Union Y Libertad)",155760,2583026
Solanas - Cadelli (Socialista Autentico),75689,2583026
López Murphy - Bullrich (Recrear Para El Crecimiento),73930,2583026
Ripoll - Bidonde (Movimiento Socialista De Los Trabajadores),26374,2583026
Sobisch - Asís,14772,2583026
Pitrola - Arroyos (Obrero),10414,2583026
Montes - Heberling (Alianza Frente P.t.s. - M.a.s. - Izquierda Socialista),5581,2583026
Ammann - Deleonardi (Alianza Frente Amplio Hacia La Unidad Latinoamericana),4414,2583026
Castells - Pelozo (Movimiento Independiente De Jubilados Y Desocupados),3477,2583026
Breide Obeid - Vergara (Popular De La Reconstruccion),3296,2583026
Mussa - Nespral (Confederacion Lealtad Popular),1507,2583026
Votos Blancos,49611,2583026
Votos Nulos,26302,2583026
