lista,votos,electores
Alianza Juntos Por El Cambio: Macri - Pichetto,871785,2566912
Alianza Frente De Todos: Fernández - Fernández,644885,2566912
Alianza Consenso Federal: Lavagna - Urtubey,169947,2566912
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,76526,2566912
Unite Por La Libertad Y La Dignidad: Espert - Rosales,69621,2566912
Alianza Frente Nos: Gómez Centurión - Hotton,23066,2566912
Movimiento Al Socialismo: Castañeira - Mulhall,21678,2566912
Alianza Frente Patriota: Biondini - Venturino,5244,2566912
Movimiento De Acción Vecinal: Albarracín - Pastore,2412,2566912
Partido Autonomista: Romero Feris - Sueldo,2111,2566912
Votos En Blanco,65838,2566912
Votos Nulos,19693,2566912
