lista,votos,electores
"De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)",80456,200064
Duhalde - Ortega (Alianza Concertacion Justicialista Para El Cambio),70144,200064
Cavallo - Caro Figueroa (Accion Por La Republica),5396,200064
Altamira - Rieznik (Obrero),828,200064
Reyna - Moccia (Frente De La Resistencia),706,200064
Méndez - Pompei (Humanista),430,200064
Mussa - Herrera (Alianza Social Cristiana),329,200064
Walsh - Leonardi (Alianza Izquierda Unida),289,200064
Votos En Blanco,3134,200064
Votos Nulos,1214,200064
