lista,votos,electores
Alianza Frente Para La Victoria,117335,258194
Alianza Union Para El Desarrollo Social,37486,258194
Alianza Frente Popular,10382,258194
Alianza Compromiso Federal,8617,258194
Alianza Frente Amplio Progresista,4399,258194
Coalicion Civica-Afirmacion Para Una Republica Igualitaria,2845,258194
Alianza Frente De Izquierda Y De Los Trabajadores,1866,258194
Alianza Proyecto Sur,1203,258194
Del Campo Popular,445,258194
Movimiento Accion Vecinal,395,258194
Votos En Blanco,5510,258194
Votos Nulos,1785,258194
