lista,votos,electores
Capitanich - Rach Quiroga (Alianza Frente Chaqueño),305922,941935
Peche - Nikisch (Alianza Chaco Somos Todos),193731,941935
Bacileff Ivanoff - Picon (Frente Integrador),85955,941935
Aguilar - García (Frente Por La Educación Y El Trabajo),8287,941935
Díaz - Raffin (Del Obrero),6101,941935
Martínez - Osuna (Alianza Consenso Federal),6100,941935
Pacheco - Mari Bordón (Accion Chaqueña),4607,941935
Sena - Acuña (Socialistas Unidos Por El Chaco),3207,941935
Castells - Gómez (Movimiento Izquierda Justicia Y Dignidad),2429,941935
"Levrino - Enriquez (Movimiento Político, Social Y Cultural Proyecto Sur)",1790,941935
Votos En Blanco,56619,941935
Votos Nulos,4249,941935
