lista,votos,electores,cargos
Justicialista,158721,449824,9
Union Civica Radical,153971,449824,9
Movimiento De Integracion Y Desarrollo,7141,449824,0
Movimiento De Unidad Chaqueña,2853,449824,0
Socialista,2289,449824,0
Democrata Cristiano,1688,449824,0
Intransigente,1391,449824,0
Federal,1385,449824,0
Frente De Izquierda Popular,496,449824,0
Alianza Democrata Socialista,428,449824,0
Movimiento Al Socialismo,266,449824,0
Movimiento Linea Popular,151,449824,0
Votos En Blanco,9234,449824,0
Votos Nulos,1422,449824,0
