lista,votos,electores
"De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)",249780,600317
Duhalde - Ortega,175541,600317
Cavallo - Caro Figueroa (Accion Por La Republica),22974,600317
Walsh - Leonardi (Alianza Izquierda Unida),2330,600317
Méndez - Pompei (Humanista),1872,600317
Mussa - Herrera (Alianza Social Cristiana),1520,600317
Reyna - Moccia (Frente De La Resistencia),1352,600317
Montes - Hernández (De Los Trabajadores Socialistas),813,600317
Altamira - Rieznik (Obrero),775,600317
Votos En Blanco,6906,600317
Votos Nulos,902,600317
