lista,votos,electores
Alianza Frente De Todos: Fernández - Fernández,388866,946414
Alianza Juntos Por El Cambio: Macri - Pichetto,169346,946414
Alianza Frente Nos: Gómez Centurión - Hotton,30430,946414
Alianza Consenso Federal: Lavagna - Urtubey,21348,946414
Unite Por La Libertad Y La Dignidad: Espert - Rosales,9948,946414
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,9130,946414
Movimiento Al Socialismo: Castañeira - Mulhall,2125,946414
Alianza Frente Patriota: Biondini - Venturino,1538,946414
Movimiento De Acción Vecinal: Albarracín - Pastore,793,946414
Partido Autonomista: Romero Feris - Sueldo,647,946414
Votos En Blanco,54606,946414
Votos Nulos,8167,946414
