lista,votos,electores
Buzzi - Mac Karthy (Justicialista),99369,352212
Eliceche - Touriñán (Alianza Frente Para La Victoria),98984,352212
Peralta - Barneche (Union Cívica Radical),31188,352212
Lucio - Fredes (Movimiento Socialista De Los Trabajadores),4476,352212
Urbano - González (Coalición Cívica A.r.i.),4340,352212
Bermejo - González (Acción Chubutense),2971,352212
Martínez - Agüero (Movimiento Independiente De Jubilados Y Desocupados),2429,352212
Logiúdice - Muñoz (Independiente Del Chubut),2010,352212
Votos En Blanco,20910,352212
Votos Nulos,3998,352212
