lista,votos,electores
Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria),156893,321719
Carrió - Giustiniani (Alianza Confederacion Coalicion Civica),42882,321719
Lavagna - Morales (Alianza Concertacion Para Una Nacion Avanzada),22916,321719
"Rodriguez Saá - Maya (Alianza Frente Justicia, Union Y Libertad)",3955,321719
Sobisch - Asís,2352,321719
Ripoll - Bidonde (Movimiento Socialista De Los Trabajadores),2105,321719
López Murphy - Bullrich (Recrear Para El Crecimiento),2080,321719
Pitrola - Arroyos (Obrero),1409,321719
Ammann - Deleonardi (Alianza Frente Amplio Hacia La 		Unidad Latinoamericana),932,321719
Breide Obeid - Vergara (Popular De La Reconstruccion),494,321719
Montes - Heberling (Alianza Frente P.t.s. - M.a.s. - Izquierda Socialista),449,321719
Solanas - Cadelli (Socialista Autentico),173,321719
Castells - Pelozo (Movimiento Independiente De Jubilados Y Desocupados),22,321719
Mussa - Nespral (Confederacion Lealtad Popular),17,321719
Votos Blancos,6748,321719
Votos Nulos,4269,321719
