lista,votos,electores
Alianza Frente Para La Victoria: Scioli - Zannini,112425,416652
Alianza Cambiemos,54094,416652
Alianza Unidos Por Una Nueva Alternativa (Una),45130,416652
Alianza Progresistas: Stolbizer - Olaviaga,7020,416652
Alianza Frente De Izquierda Y De Los Trabajadores,5132,416652
Alianza Compromiso Federal: Rodríguez Saa - Negre De Alonso,2834,416652
Mst - Nueva Izquierda: Bodart - Ripoll,2500,416652
Movimiento Al Socialismo: Castañeira - Ayala,1993,416652
Alianza Frente Popular: De Gennaro - Codoni,1889,416652
Partido Popular: Yattah - Moretta,1441,416652
Movimiento De Accion Vecinal: Albarracín - Dib,844,416652
Votos En Blanco,76930,416652
Votos Nulos,6522,416652
