lista,votos,electores
De La Sota - Pregno (Alianza Union Por Cordoba),766445,2493687
Juez - Gatica (Alianza Frente Civico),532281,2493687
Aguad - Roulet (Union Civica Radical),412140,2493687
Salas - Báez (Alianza Frente De Izquierda Y De Los Trabajadores),25313,2493687
Fernandez - Treber (Alianza Nuevo Encuentro),16805,2493687
Baldata - Naselo (Coalicion Civica - Afirmacion Para Una Republica 		Igualitaria),10330,2493687
Agüero - Crespo 		(Concentracion Popular),7891,2493687
Delich - Funes (Concertacion Vecinal Es Posible),6747,2493687
Gonzalez Olguin - Alberione (Alianza Frente Unidad 		Popular Y Humanista),6392,2493687
Villena - Figueroa (Del Campo Popular),5065,2493687
Sella - Romero (Politica Abierta Para La Integridad Social),5061,2493687
Rumie Vittar - Beccari (Intransigente),4829,2493687
Votos En Blanco,50029,2493687
Votos Nulos,44738,2493687
