lista,votos,electores
Justicialista,684422,1983139
Union Civica Radical,429048,1983139
Alianza Frente Pais Solidario,324746,1983139
Union De Centro Democratico,68282,1983139
Movimiento Por La Dignidad Y La Independencia,17856,1983139
Movimiento De Integracion Y Desarrollo,11413,1983139
Federal,11258,1983139
Corriente Patria Libre,3949,1983139
Alianza Sur,3066,1983139
Movimiento Socialista De Los Trabajadores,2518,1983139
Socialista Autentico,1777,1983139
Humanista,1722,1983139
Obrero,1712,1983139
Alianza Movimiento Al Socialismo - De Los Trabajadores Socialistas,1216,1983139
Confederacion Solidaridad,147,1983139
Frente Para La Coincidencia Patriotica,59,1983139
Movimiento Democratico Antimperialista,37,1983139
Votos En Blanco,86414,1983139
Votos Nulos,11849,1983139
