lista,votos,electores
Alianza Juntos Por El Cambio: Macri - Pichetto,1007842,2945369
Alianza Frente De Todos: Fernández - Fernández,637985,2945369
Alianza Consenso Federal: Lavagna - Urtubey,165643,2945369
Alianza Frente Nos: Gómez Centurión - Hotton,59601,2945369
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,55582,2945369
Unite Por La Libertad Y La Dignidad: Espert - Rosales,54074,2945369
Movimiento Al Socialismo: Castañeira - Mulhall,16954,2945369
Movimiento De Acción Vecinal: Albarracín - Pastore,7296,2945369
Alianza Frente Patriota: Biondini - Venturino,4094,2945369
Partido Autonomista: Romero Feris - Sueldo,2940,2945369
Votos En Blanco,90935,2945369
Votos Nulos,38956,2945369
