lista,votos,electores
Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico),155352,616152
Kirchner-Scioli (Alianza Frente Para La Victoria),117081,616152
López Murphy-Gómez Diez (Alianza Movimiento Federal Para Recrear El Crecimiento),51549,616152
Carrió-Gutiérrez (Alianza Afirmacion Para Una Republica Igualitaria),45571,616152
Moreau-Losada (Union Civica Radical),31795,616152
Rodríguez Saa-Posse (Alianza Frente Movimiento Popular - Union Y Libertad),24547,616152
Walsh-Parrilli (Alianza Izquierda Unida),3143,616152
Zaffore-Perié (Movimiento De Integracion Y Desarrollo),2164,616152
Altamira-Salas (Obrero),1772,616152
Venturino-Pinto Kramer (Confederacion Para Que Se Vayan Todos),1685,616152
Herrera-Cuneo (Democrata Cristiano),1575,616152
Bravo-Giustiniani (Socialista),1261,616152
Sullings-Ambrosio (Humanista),1189,616152
Mazzitelli-Camps (Socialista Autentico),1105,616152
Mussa-Suárez (Alianza Unidos O Dominados),1079,616152
Breide Obeid-Vasena (Popular De La Reconstruccion),982,616152
Terán-Bonacci (Movimiento Por La Dignidad Y La Independencia),959,616152
Arcagni-Zenof (Alianza Tiempos De Cambio - Union Popular),774,616152
Votos Blancos,4544,616152
Votos Nulos,6927,616152
