lista,votos,electores
Busti - Gustavino (Justicialista),267411,821809
Varisco - Follonier (Alianza Frente Social Entre Rios Tiene Futuro),205896,821809
Martínez Garbino - Nogueira (Alianza Nuevo Espacio Entrerriano),108303,821809
Ramos - Sorokin (Frente Entrerriano Para La Victoria),5032,821809
Cabrera - Golli De Lobariña (Alianza Izquierda Unida),4626,821809
Goyena Lorenzen - Arce (Humanista),4059,821809
Vergara - Bosi (Popular De La Reconstrucción),3992,821809
Votos En Blanco,13155,821809
Votos Nulos,3017,821809
Votos Recurridos,1179,821809
