lista,votos,electores
Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico),185370,818801
Kirchner-Scioli (Alianza Frente Para La Victoria),129190,818801
López Murphy-Gómez Diez (Alianza Movimiento Federal Para Recrear El Crecimiento),89487,818801
Rodríguez Saa-Posse (Alianza Frente Movimiento Popular - Union Y Libertad),88563,818801
Carrió-Gutiérrez (Alianza Afirmacion Para Una Republica Igualitaria),75288,818801
Moreau-Losada (Union Civica Radical),25457,818801
Bravo-Giustiniani (Socialista),4886,818801
Walsh-Parrilli (Alianza Izquierda Unida),4620,818801
Breide Obeid-Vasena (Popular De La Reconstruccion),3561,818801
Arcagni-Zenof (Alianza Tiempos De Cambio - Union Popular),2782,818801
Sullings-Ambrosio (Humanista),2226,818801
Altamira-Salas (Obrero),1987,818801
Venturino-Pinto Kramer (Confederacion Para Que Se Vayan Todos),1959,818801
Zaffore-Perié (Movimiento De Integracion Y Desarrollo),1577,818801
Herrera-Cuneo (Democrata Cristiano),1557,818801
Terán-Bonacci (Movimiento Por La Dignidad Y La Independencia),1495,818801
Mussa-Suárez (Alianza Unidos O Dominados),1456,818801
Mazzitelli-Camps (Socialista Autentico),1307,818801
Votos Blancos,5379,818801
Votos Nulos,10876,818801
