lista,votos,electores
Alianza Frente Para La Victoria,314681,921453
Alianza Unión Para El Desarrollo Social,115991,921453
Alianza Frente Amplio Progresista,90607,921453
Alianza Frente Popular,84658,921453
Alianza Compromiso Federal,43723,921453
Coalicion Civica-Afirmación Para Una República Igualitaria,16921,921453
Alianza Frente De Izquierda Y De Los Trabajadores,7925,921453
Alianza Proyecto Sur,5567,921453
Movimiento Acción Vecinal,3649,921453
Del Campo Popular,2629,921453
Votos En Blanco,45283,921453
Votos Nulos,10199,921453
