lista,votos,electores
Partido Justicialista,133939,301924
Insfrán - Bogado,133939,301924
Confederación Formoseña Frente De Todos,45532,301924
Hernández - Loza,24896,301924
Aranda - Maglietti,10083,301924
Peyro - Giménez,7095,301924
Schaefer - Campos,3458,301924
Movimiento De Integración Y Desarrollo : Rhiner - Nicora,3532,301924
Afirmación República Igualitaria : Giuliano - Giachero,2881,301924
Humanista : Percingula - Servian,677,301924
Votos En Blanco,6861,301924
Votos Nulos,2179,301924
Votos Recurridos,249,301924
