lista,votos,electores
Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria),162680,333356
Lavagna - Morales (Alianza Concertacion Para Una Nacion Avanzada),32090,333356
Carrió - Giustiniani (Alianza Confederacion Coalicion Civica),17492,333356
"Rodriguez Saá - Maya (Alianza Frente Justicia, Union Y Libertad)",4057,333356
Sobisch - Asís,634,333356
Breide Obeid - Vergara (Popular De La Reconstruccion),576,333356
Ammann - Deleonardi (Alianza Frente Amplio Hacia La 		Unidad Latinoamericana),460,333356
López Murphy - Bullrich (Recrear Para El Crecimiento),376,333356
Montes - Heberling (Alianza Frente P.t.s. - M.a.s. - Izquierda Socialista),283,333356
Pitrola - Arroyos (Obrero),273,333356
Solanas - Cadelli (Socialista Autentico),209,333356
Ripoll - Bidonde (Movimiento Socialista De Los Trabajadores),187,333356
Mussa - Nespral (Confederacion Lealtad Popular),85,333356
Castells - Pelozo (Movimiento Independiente De Jubilados Y Desocupados),30,333356
Votos Blancos,15109,333356
Votos Nulos,2002,333356
