lista,votos,electores
Alianza Frente Para La Victoria,177446,360194
Alianza Unión Para El Desarrollo Social,38178,360194
Alianza Frente Popular,16483,360194
Alianza Frente Amplio Progresista,5801,360194
Coalición Cívica-Afirmación Para Una República Igualitaria,5578,360194
Alianza Compromiso Federal,5398,360194
Alianza Frente De Izquierda Y De Los Trabajadores,2072,360194
Movimiento Acción Vecinal,888,360194
Alianza Proyecto Sur,761,360194
Del Campo Popular,613,360194
Votos En Blanco,12309,360194
Votos Nulos,2839,360194
