lista,votos,electores
Fellner - Barrionuevo (Justicialista),134869,377686
Morales - Monaldi (Alianza Frente Jujeño),84907,377686
Calsina - Bosio (Libertad Y Democracia Responsable),5733,377686
Torres - Martínez (Movimiento Socialista De Los Trabajadores),4726,377686
Jorge - Castellani Juez (Alianza Frente Por El Cambio),4115,377686
Arnedo - Yañez (Alianza Frente De Unidad Provincial),2546,377686
Horvath - Torramorell (Democrata Cristiano),1887,377686
Rios - Cruz (De Los Trabajadores Socialistas),1388,377686
Rigazzio - Ritzer (Humanista),1365,377686
Votos En Blanco,31343,377686
Votos Nulos,2142,377686
