lista,votos,electores,cargos
Frente Justicialista Popular,87719,263246,8
Confederacion Federalista Independiente,41778,263246,4
Union Civica Radical,35539,263246,3
Fuerza Republicana,15326,263246,1
Movimiento Unidad Renovadora,7661,263246,0
"Azul, Lealtad, Restauracion",7287,263246,0
Alianza Izquierda Unida,3482,263246,0
Union De Centro Democratico,2712,263246,0
Democrata,2487,263246,0
Alianza Unidad Socialista,1096,263246,0
Obrero,832,263246,0
Frente Humanista - Verde,624,263246,0
Votos En Blanco,2432,263246,0
Votos Nulos,1931,263246,0
