lista,votos,electores
Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria),169765,411020
Lavagna - Morales (Alianza Concertacion Para Una Nacion Avanzada),72326,411020
Carrió - Giustiniani (Alianza Confederacion Coalicion Civica),17000,411020
"Rodriguez Saá - Maya (Alianza Frente Justicia, Union Y Libertad)",5161,411020
Ripoll - Bidonde (Movimiento Socialista De Los Trabajadores),2373,411020
Sobisch - Asís,2084,411020
Pitrola - Arroyos (Obrero),1216,411020
Ammann - Deleonardi (Alianza Frente Amplio Hacia La 		Unidad Latinoamericana),1210,411020
Montes - Heberling (Alianza Frente P.t.s. - M.a.s. - Izquierda Socialista),1024,411020
Breide Obeid - Vergara (Popular De La Reconstruccion),977,411020
López Murphy - Bullrich (Recrear Para El Crecimiento),852,411020
Castells - Pelozo (Movimiento Independiente De Jubilados Y Desocupados),8,411020
Mussa - Nespral (Confederacion Lealtad Popular),6,411020
Solanas - Cadelli (Socialista Autentico),3,411020
Votos Blancos,32107,411020
Votos Nulos,4159,411020
