lista,votos,electores
Alianza Frente Para La Victoria,186040,444461
Alianza Unión Para El Desarrollo Social,61022,444461
Alianza Compromiso Federal,17223,444461
Alianza Frente Amplio Progresista,17010,444461
Alianza Frente Popular,16855,444461
Alianza Frente De Izquierda Y De Los Trabajadores,10075,444461
Coalición Cívica-Afirmación Para Una República Igualitaria,7290,444461
Alianza Proyecto Sur,2647,444461
Movimiento Acción Vecinal,1385,444461
Del Campo Popular,1177,444461
Votos En Blanco,12753,444461
Votos Nulos,5270,444461
