lista,votos,electores
Cobos - Jaliff,326026,1076903
Amstutz - Pesce,271470,1076903
Niven - Funes (Democrata De Mendoza),72639,1076903
Gutierrez - Torres (Afirmacion Por Una Republica Igualitaria),33922,1076903
Bonarrico - Costana (Blanco),13474,1076903
Civit Evans - Anitori (Union Y Libertad),12189,1076903
Liberal - Tardith (Alianza Frente Amplio Del Trabajo Y La Produccion),8267,1076903
Fresina - Dalmau (Obrero),5650,1076903
Guevara - Cruciani (Polo Social),4963,1076903
Marianetti - Collovati (Movimiento Por El Socialismo Y El Trabajo),4118,1076903
Giachino - Bottasso (Popular De La Reconstruccion),3918,1076903
López - Lowenrosen (Del Trabajador Por El Socialismo),3490,1076903
Votos En Blanco,37275,1076903
Votos Nulos,12823,1076903
