lista,votos,electores,cargos
Union Civica Radical,368484,749248,15
Justicialista,233035,749248,9
Democrata De Mendoza,17192,749248,0
Movimiento De Integracion Y Desarrollo,7233,749248,0
Intransigente,6073,749248,0
Democrata Cristiano,1435,749248,0
Confederacion Nacional De Centro,1031,749248,0
Movimiento Al Socialismo,919,749248,0
Frente De Izquierda Popular,812,749248,0
Alianza Democrata Socialista,584,749248,0
Socialista Popular,471,749248,0
Obrero,122,749248,0
Votos En Blanco,7012,749248,0
Votos Nulos,4668,749248,0
