lista,votos,electores
Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria),489752,1141162
Lavagna - Morales (Alianza Concertacion Para Una Nacion Avanzada),147042,1141162
Carrió - Giustiniani (Alianza Confederacion Coalicion Civica),102833,1141162
"Rodriguez Saá - Maya (Alianza Frente Justicia, Union Y Libertad)",33861,1141162
Sobisch - Asís,9855,1141162
López Murphy - Bullrich (Recrear Para El Crecimiento),6048,1141162
Ripoll - Bidonde (Movimiento Socialista De Los Trabajadores),3727,1141162
Solanas - Cadelli (Socialista Autentico),2707,1141162
Pitrola - Arroyos (Obrero),2498,1141162
Montes - Heberling (Alianza Frente P.t.s. - M.a.s. - Izquierda Socialista),2142,1141162
Ammann - Deleonardi (Alianza Frente Amplio Hacia La 		Unidad Latinoamericana),1900,1141162
Breide Obeid - Vergara (Popular De La Reconstruccion),1270,1141162
Votos Blancos,70312,1141162
Votos Nulos,17763,1141162
