lista,votos,electores
Passalacqua - Herrera Ahuad (Frente Renovador De La Concordia),400536,849788
Ziegler - Pegoraro (Frente Vamos Juntos),85060,849788
Gonzalez - Fernandez Flores (Frente Civico Y Social),53605,849788
Velazquez - San Jose (Frente Unidos Una),40773,849788
Barbaro - Ciarmiello (Proyecto Agrario Y Social P.a.y.s.),37630,849788
Coutoune - Ramisch (Del Obrero),4350,849788
Velazquez - Santa Cruz (Unidos Por Una Nueva Alternativa),2225,849788
Pasaman Znacovski - Rosenfeld (Frente Popular),1792,849788
Benitez - Duarte Movimiento Social Para Una Mejor Vida),974,849788
Aranda - Dominguez Movimiento Generacional),958,849788
Votos En Blanco,66184,849788
Votos Nulos,5277,849788
