lista,votos,electores
Menem - Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico),170711,598430
Kirchner - Scioli (Alianza Frente Para La Victoria),100707,598430
Carrio - Gutierrez (Alianza Afirmacion Para Una Republica Igualitaria),40239,598430
Rodriguez Saa - Posse (Alianza Frente Movimiento Popular - Union Y Libertad),39165,598430
Lopez Murphy - Gomez Diez (Alianza Movimiento Federal Para Recrear El Crecimiento),38064,598430
Moreau - Losada (Union Civica Radical),33016,598430
Bravo - Giustiniani (Socialista),2460,598430
Walsh - Parrilli (Alianza Izquierda Unida),2418,598430
Zaffore - Perie (Movimiento De Integracion Y Desarrollo),2291,598430
Venturino - Pinto Kramer (Confederacion Para Que Se Vayan Todos),1991,598430
Altamira - Salas (Obrero),1738,598430
Sulling - Ambrosio (Humanista),1566,598430
Mussa - Suarez (Alianza Unidos O Dominados),1464,598430
Teran - Bonacci (Movimiento Por La Dignidad Y La Independencia),1449,598430
Arcagni - Zenof (Alianza Tiempos De Cambio - Union Popular),1177,598430
Breide Obeid - Vasena (Popular De La Reconstruccion),151,598430
Herrera - Cuneo (Democrata Cristiano),75,598430
Mazzitelli - Camps (Socialista Autentico),15,598430
Votos Blancos,4570,598430
Votos Nulos,6479,598430
