lista,votos,electores
Sobisch - Brollo,124171,322109
Duzdevich - Solano Rioseco,44103,322109
Moraña - Villar (Alianza Frente Ari - Encuentro Neuquino),15338,322109
Taylor - Etcheverry (Recrear Para El Crecimiento),10007,322109
Escobar - Baque (Corriente Patria Libre),6820,322109
Prieto - Burgos (Union Civica Radical),6549,322109
Canini - Schaljo (Movimiento Para La Unidad De Los Neuquinos),6244,322109
Mora - Olmedo,4695,322109
Muñoz - García (Humanista Ecologista),2023,322109
Billiet - Frañol (De Los Trabajadores Socialistas),1503,322109
Votos En Blanco,25127,322109
Votos Nulos,4459,322109
