lista,votos,electores
"De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)",117724,282664
Duhalde - Ortega (Alianza Concertacion Justicialista Para El Cambio),63096,282664
Cavallo - Caro Figueroa (Alianza Accion Por La Republica),31679,282664
Méndez - Pompei (Humanista),2606,282664
Altamira - Rieznik (Obrero),2337,282664
Walsh - Leonardi (Alianza Izquierda Unida),2148,282664
Mussa - Herrera (Alianza Social Cristiana),1972,282664
Reyna - Moccia (Frente De La Resistencia),1679,282664
Montes - Hernández (De Los Trabajadores Socialistas),1478,282664
Votos Blancos,2618,282664
Votos Nulos,4735,282664
