lista,votos,electores
Alianza Frente Para La Victoria,163432,406084
Alianza 	Unión Para El Desarrollo Social,32609,406084
Alianza Frente Amplio Progresista,29117,406084
Alianza Frente Popular,26258,406084
Coalición Cívica-Afirmación Para Una República Igualitaria,15506,406084
Alianza Frente De Izquierda Y De Los Trabajadores,14235,406084
Alianza Compromiso Federal,6701,406084
Alianza Proyecto Sur,4049,406084
Movimiento 	Acción Vecinal,2236,406084
Del Campo Popular,1364,406084
Votos En Blanco,21786,406084
Votos Nulos,8880,406084
