lista,votos,electores
Verna - Durango (Justicialista),77051,223802
Torroba - Di Liscia (Alianza Frente Alternativa Pampeana),40087,223802
Ahuad - Garcia (Alianza Frente Para La Victoria - Afirmación Para Una República Igualitaria - Movimiento De Integración Y Desarrollo - Acción Desarrollista),31089,223802
Naval - Sosa (Pueblo Nuevo),2754,223802
Esponda - Corral (Humanista),2740,223802
Castro - Indelangelo (Alianza Movimiento Unidad Popular),1932,223802
Landucci - Peralta (Popular De La Reconstrucción),1423,223802
Votos En Blanco,12920,223802
Votos Nulos,1213,223802
Votos Recurridos,138,223802
