lista,votos,electores
"De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)",90224,207255
Duhalde - Ortega (Alianza Concertacion Justicialista Para El Cambio),69397,207255
Cavallo - Caro Figueroa (Alianza Accion Por La Republica),9796,207255
Méndez - Pompei (Humanista),833,207255
Quarracino - Rearte (Socialista Autentico),524,207255
Mussa - Herrera (Alianza Social Cristiana),473,207255
Altamira - Rieznik (Obrero),467,207255
Reyna - Moccia (Alianza Frente De La Resistencia),300,207255
Votos En Blanco,8414,207255
Votos Nulos,1242,207255
