lista,votos,electores
Alianza Frente Para La Victoria: Scioli - Zannini,81499,274248
Alianza Cambiemos,71029,274248
Alianza Unidos Por Una Nueva Alternativa (Una),31798,274248
Alianza Progresistas: Stolbizer - Olaviaga,5409,274248
Alianza Compromiso Federal: Rodríguez Saa - Negre De Alonso,4381,274248
Alianza Frente De Izquierda Y De Los Trabajadores,4041,274248
Movimiento Al Socialismo: Castañeira - Ayala,1002,274248
Alianza Frente Popular: De Gennaro - Codoni,995,274248
Mst - Nueva Izquierda: Bodart - Ripoll,826,274248
Partido Popular: Yattah - Moretta,594,274248
Movimiento De Accion Vecinal: Albarracín - Dib,406,274248
Votos En Blanco,9179,274248
Votos Nulos,2393,274248
