lista,votos,electores
Ruckauf - Solá,3501870,9332165
"Fernández Meijide - Posse (Alianza Para El Trabajo, La Justicia Y La Educacion)",2996483,9332165
Patti - Dreyfus (Unidad Bonaerense),565408,9332165
Siddi - Caprara (Humanista),48952,9332165
Pacagnini - Dalponte (Movimiento Por El Socialismo Y El Trabajo),48428,9332165
Biaggio - Ugarteche (Obrero),43352,9332165
Dragún - Tripi (De Los Trabajadores Socialistas),20609,9332165
Donikian - Módena (Frente De La Resistencia),19740,9332165
Votos En Blanco,446219,9332165
Votos Nulos,51445,9332165
