lista,votos,electores
Alianza Frente De Todos: Kicilof - Magario,4921536,13185036
Alianza Juntos Por El Cambio: Vidal - Salvador,3223460,13185036
Alianza Consenso Federal: Bucca - Saredi,575202,13185036
Alianza Frente Nos: Alvarez - Dell,168223,13185036
Alianza Frente De Izquierda Y De Trabajadores-Unidad: Castillo - Trimarchi,321876,13185036
Movimiento Avanzada Socialista: Gonzalez Bayon - Alonso,67319,13185036
Dignidad Popular: Cuneo - Morgado,21491,13185036
Movimiento Organizacion Democratica: Macaione - Ferrara,11104,13185036
Frente Patriota: Bariani - Graziano,21434,13185036
Votos En Blanco,623049,13185036
Votos Nulos,66813,13185036
